Generation Number,Generation Time,Training Error,Testing Error,Average Size
1,9.576009403500906,913.6577143404162,903.2408960184896,3.0
2,9.32829076285336,852.100514090098,818.2843308264621,3.0
3,9.211124392892339,743.9038559646688,744.193824121593,3.0
4,9.325918684192722,743.3583121699023,774.382787840948,3.0
5,9.43384819208887,737.4470619297581,690.7461233910415,4.0
6,9.35217562688814,737.4470619297581,690.7461233910415,3.0
7,9.112897368357395,737.4470619297581,690.7461233910415,4.0
8,9.077478558224598,689.1204408289257,675.9479481636458,3.5
9,9.162106224838816,667.5449720630334,655.4700407782984,4.0
10,9.200785095564704,667.5449720630334,655.4700407782984,4.0
11,9.245503524178218,651.2770495079583,639.0343922095667,5.0
12,9.28897379741786,538.8799938393921,529.0726332291188,5.0
13,9.28259413106555,521.0896001767888,511.7268460589341,5.0
14,9.378280303450772,443.49992196644314,446.4573557381574,6.0
15,9.534967277011773,443.49992196644314,446.4573557381574,8.0
16,9.597898015844192,443.49992196644314,446.4573557381574,9.0
17,9.722676411699041,443.49992196644314,446.4573557381574,12.0
18,9.871083522954464,440.83593269366156,445.22660577812974,13.0
19,9.90621302743483,440.83593269366156,445.22660577812974,14.0
20,9.873081482303803,439.43224494259965,445.6552839100703,14.0
21,9.978306345228546,438.27208621510704,444.31080775645955,14.0
22,10.047038423718334,434.374175030949,437.79559190850796,15.0
23,9.951340582339554,434.374175030949,437.79559190850796,16.0
24,9.933113330117223,434.374175030949,437.9359217035013,16.0
25,10.01008955240863,429.81969112131566,434.7879714040302,16.0
26,9.95834937819913,423.7051497664188,431.98991035953816,16.0
27,9.993373292520374,422.5717600471985,434.17744972460554,16.0
28,9.993619906733414,422.43602105527185,429.94508547342986,16.0
29,10.0928870370291,279.958851067105,262.13239571425726,17.0
30,10.154677772133113,275.93361078028664,257.70809540046685,17.0
31,10.050227047303451,275.93361078028664,257.70809540046685,17.0
32,10.16038590214842,272.43889614848274,255.764674350645,18.0
33,10.399535801752279,272.43889614848274,255.764674350645,19.0
34,10.34869840917466,271.8585171650393,258.22110404255045,20.0
35,10.345733773339902,247.614172218742,232.22944314991224,22.0
36,10.401341080406524,245.25258605588832,227.0923849622589,22.0
37,10.45538801537458,242.85162915986325,224.93957208997168,22.0
38,10.540275672852601,241.44970536753095,232.95498857467902,23.0
39,10.659135612202418,239.36743164729052,228.67381613939787,24.0
40,10.614036233647568,237.1032210425575,222.27918217096772,24.0
41,10.61965385781201,233.1322477196439,223.26280636565542,24.0
42,10.65974026528454,203.2750326891875,203.21569861645327,25.0
43,10.74170640528115,200.2395105032209,200.36910706046,27.0
44,10.953896234188136,187.15189992433915,189.16714775961464,27.0
45,10.808425013198985,187.15189992433915,189.16714775961464,27.5
46,10.962037207012203,187.12472579106765,189.13586055440703,28.0
47,10.95822898834112,187.12472579106765,189.13586055440703,29.0
48,11.015777475142897,180.1705709989423,185.1112867315327,30.0
49,10.958695036550779,180.1705709989423,185.1112867315327,31.0
50,11.085618250305572,171.29254734800517,180.04614675508458,33.5
51,11.268269730204395,171.29254734800517,180.04614675508458,34.0
52,11.296021442486676,170.49053674719454,181.03113277615444,37.0
53,11.398631312462783,168.77648117595186,188.18907381315165,37.5
54,11.378248284871232,167.41172831452076,187.09715110621602,40.0
55,11.603327797676798,167.41172831452076,187.09715110621602,41.0
56,11.61955367523501,167.41172831452076,187.09715110621602,42.0
57,11.622186883197458,166.49512451124218,182.92641201887514,43.0
58,11.707018330280619,166.49350427927192,182.92641201887514,43.0
59,11.757286076756088,160.81999546686248,180.11521138414804,43.0
60,11.76156062824725,160.81999546686248,180.11521138414804,44.0
61,11.84226594774316,159.1897735299074,178.51677849658896,44.0
62,11.927218780818123,159.1897735299074,178.51677849658896,44.0
63,11.948941750377116,155.79979388905974,178.9529590933587,46.0
64,12.023400885420417,153.23707584317089,172.58989138342426,46.0
65,11.930713359716776,153.23707584317089,172.58989138342426,47.0
66,12.001510423114667,151.75791767667607,174.23910314554277,46.0
67,11.964362467394778,151.75791767667607,174.23910314554277,46.0
68,12.019701529918962,151.75791767667607,174.23910314554277,47.0
69,12.184042651593472,151.30413833040774,163.9689469647068,50.0
70,12.20757787274249,147.6991268856562,164.71093944372979,52.0
71,12.20710741308369,147.6991268856562,165.6181567439213,56.0
72,12.408281000744466,147.4473780443265,160.1499017708872,58.0
73,12.375157140071792,147.4473780443265,160.1499017708872,57.0
74,12.460902895475726,147.4473780443265,160.1499017708872,58.0
75,12.552287478458709,146.70386271375122,165.41629089635586,58.0
76,12.546566114097345,146.3856826551172,169.7101840202459,59.0
77,12.634851583211969,141.42933091334356,157.67317169218427,59.0
78,12.446776867501399,141.0652555686205,157.67317169218427,60.0
79,12.588330152820902,141.0652555686205,156.59687519832534,60.0
80,12.642662551212139,141.0217316534493,156.59687519832534,61.0
81,12.791920645153255,141.0217316534493,156.59687519832534,61.0
82,12.742881842903842,139.3752362797918,154.6512077164515,61.0
83,12.775253195809967,139.3752362797918,154.6512077164515,62.5
84,12.811192129975266,137.4037363141511,156.85094794017039,62.0
85,12.964420954665915,137.29607005481404,156.89635278421113,62.0
86,12.877438570576885,137.29607005481404,156.90339416781222,63.0
87,12.901973625229118,137.29607005481404,156.90339416781222,63.0
88,12.961488764324542,135.6184729540628,149.54246715943162,65.0
89,12.882593846455848,134.5729536541813,147.29066964280622,66.0
90,13.158424230522542,134.0592915629399,149.30842578979784,68.0
91,13.159947461068896,134.0592915629399,149.30842578979784,68.0
92,13.194010248791303,133.49809708789718,149.02657034487373,69.0
93,13.366540726921471,132.18176722745898,152.02726963261918,69.0
94,13.272715047451356,132.18176722745898,148.2075251632711,69.0
95,13.415886196007818,131.5004490116572,151.32327093752536,69.0
96,13.355610722381584,131.10665409284067,149.00685740064068,70.0
97,13.406428192288104,122.84927653302724,128.22392461172387,71.0
98,13.294734153293575,122.84927653302724,128.22392461172387,71.0
99,13.444780046590495,122.84927653302724,128.22392461172387,73.0
100,13.570263989628984,122.84927653302724,128.22392461172387,75.0
101,13.379189915712686,120.95533541914601,124.61967051792075,75.5
102,13.45296698386403,120.95533541914601,124.61967051792075,74.0
103,13.53278247146443,116.2190729952555,128.32590699681825,76.0
104,13.648859498205184,116.2190729952555,128.32590699681825,77.0
105,13.853447689467998,116.2190729952555,132.94651807496678,78.0
106,13.770797348007818,115.51846243825685,132.94651807496678,79.0
107,13.879504551618652,115.51846243825685,132.94651807496678,80.0
