Generation Number,Generation Time,Training Error,Testing Error,Average Size
1,2.0650306012000135,4522247.842848708,2894.6928656869795,4.0048
2,2.0656073897999923,4405168.891379037,2867.08582597015,4.152191235059761
3,1.969587192000001,4305936.159679422,2881.760643876229,4.246087649402391
4,2.074058001200002,4612902.561548026,2889.225241800227,4.235735458167331
5,2.047964248399989,4620963.440191441,2856.3181159989667,4.420825498007969
6,2.104744546199994,4534633.537283694,2890.290214887193,4.604710756972111
7,2.0681128601999914,4510290.404720209,2892.476383061092,4.748806374501993
8,2.070734393399999,4387022.654065642,2892.16365891718,4.96037609561753
9,2.054710507199995,4476010.019372535,2893.3773417645302,5.319643027888446
10,2.108719054400011,4718383.309773512,2972.448307412764,5.548749003984064
11,2.157213359199995,4704578.4824847,2898.9248595499,5.800363346613546
12,2.1383475941999954,4610746.074669853,2898.0278439919366,6.011486852589641
13,2.1281585909999903,4581994.4441151675,2886.967140836537,6.2842199203187254
14,2.186043342599999,4460582.370011594,2885.284509023114,6.108411155378486
15,2.147286195999994,4478512.500392914,2887.998652327068,6.34553625498008
16,2.136402689600007,4407236.389304829,2820.0114398785563,6.520886055776893
17,2.1284021024000084,4507116.184394115,2873.1717147485556,6.4176
18,2.1517991274000026,4554592.007894631,2889.264430039437,6.758973705179282
19,2.1666931729999943,4562044.967775347,2915.093403703956,6.649083665338646
20,2.135484655200011,4495929.070131579,2902.235624588322,6.513313147410358
21,2.221097611600007,4636558.620454383,2866.537259538807,6.348487649402391
22,2.2872671046000064,4568735.961299267,2894.468721592295,6.766591235059761
23,2.236722590200003,4464644.957306251,2893.7180132107055,7.166610358565737
24,2.1590178937999993,4439140.08087997,2813.891251482201,7.414342629482073
25,2.167883407999993,4596796.491668498,2887.453103971906,6.995582470119521
26,2.2876216136000025,4658089.380514888,2893.238190321743,7.10613545816733
27,2.250191143400005,4414577.912751179,2899.5826255968395,7.0340653386454175
28,2.1616697669999936,4613391.61990642,2817.48354865367,7.039999999999999
29,2.181040370999989,4807256.086885967,3115.8594285277477,7.427225498007968
30,2.151478601000008,4639069.951266391,3167.4885561041874,7.809593625498008
31,2.1285850487999993,4825879.974859906,2892.2301435360837,8.251021513944222
32,2.1532941788000017,4625683.293011376,2895.0469138206304,8.437054980079683
33,2.147365089400009,4636853.508681483,2897.5519965841254,8.759164940239042
34,2.1565305250000195,4546493.538101855,2917.04962338778,8.800592828685259
35,2.2125389629999916,4602229.180219093,2883.0815213456162,9.359362549800796
36,2.3691957972000126,4509078.372987786,2924.8230129369704,10.010874900398406
37,2.2118523723999943,4599376.978276594,2920.9005538067036,9.966756972111554
38,2.2491697384000133,4617720.374892444,2920.904597450741,10.14898486055777
39,2.206546178399998,4807427.501497028,3028.2045818673255,10.393861354581674
40,2.255807162599967,4699896.1761845695,2889.2923174830385,11.015987250996016
41,2.2230635772,4729582.1907919245,2789.423405874533,11.0064
42,2.230934952400003,4611082.125854946,2871.6740093752314,11.266887649402392
43,2.2609836884000174,4416634.120144154,2815.1558745907123,11.69408764940239
44,2.275766338399978,4540075.6780122565,2890.2454323356787,12.300570517928287
45,2.2640904235999955,4453419.9768989775,2884.0265102332914,12.770224701195218
46,2.236503498600007,4545497.585047707,2900.994013888549,12.512165737051793
47,2.247269859600016,4445524.438266012,2896.4458410092493,12.76787250996016
48,2.310173577599997,4608515.898741788,2897.0276174141413,13.073619123505978
49,2.418068745800005,4631883.229462604,2894.5803167130607,13.124532270916337
50,2.356438539199999,4553310.522317147,2873.111268665292,13.076060557768923
