   	      	            fitness            	              size
   	      	-------------------------------	-------------------------------
gen	nevals	max    	mean   	min    	std    	max	mean   	min	std
0  	300   	1785.68	170.328	60.4912	109.705	7  	4.69333	3  	1.84372
1  	227   	514.571	152.06 	60.4912	38.8777	11 	4.40667	1  	1.79851
2  	217   	611.58 	144.832	60.4912	41.2476	13 	4.51333	1  	1.98406
3  	218   	1932.94	153.281	60.4912	114.953	13 	4.78667	1  	2.09312
4  	212   	691.887	139.982	60.4912	49.1806	11 	5.13333	1  	2.27058
5  	226   	738.322	131.555	60.4912	51.116 	15 	5.30667	1  	2.58959
6  	226   	2175.21	129.133	58.4248	124.73 	15 	5.40667	1  	2.49425
7  	228   	374.032	124.792	58.4248	47.4807	13 	5.88   	1  	2.49244
8  	211   	710.821	125.118	51.0615	64.638 	19 	6.45333	1  	3.08888
9  	230   	805.583	134.315	51.0615	83.5622	17 	7.42667	1  	3.37115
10 	206   	608.316	120.199	50.7507	66.9375	21 	8.11333	1  	3.69511
11 	201   	1479.44	121.546	49.8316	102.068	21 	8.96   	1  	3.61825
12 	220   	760.111	143.904	49.093 	104.112	21 	9.22667	1  	4.05322
13 	220   	1318.85	140.794	51.0615	110.628	23 	9.12   	1  	3.81387
14 	207   	752.06 	134.559	50.876 	105.092	21 	9.50667	1  	3.88286
15 	224   	905.091	151.828	37.1061	125.064	21 	10.3667	1  	3.93771
16 	231   	578.404	127.822	37.1061	88.1533	25 	10.1667	1  	4.41953
17 	222   	738.387	133.153	37.1061	93.3853	29 	10.8867	1  	5.37158
18 	194   	841.479	125.1  	34.6087	98.7971	39 	12.28  	1  	6.01678
19 	227   	1816.17	136.005	34.6087	137.324	31 	12.9333	1  	6.23289
20 	227   	782.83 	134.061	37.1061	96.366 	35 	13.7933	1  	7.04064
21 	229   	1318.19	140.106	46.018 	130.112	35 	14.4733	3  	7.31227
22 	223   	1910.48	138.458	37.1061	161.317	37 	15.0133	1  	7.95821
23 	202   	1354.49	129.793	34.8163	124.977	43 	16.08  	1  	8.14741
24 	223   	729.058	128.894	34.8163	97.2881	47 	16.9533	1  	8.74135
25 	219   	1158.75	133.139	34.8163	125.727	43 	18.72  	1  	8.88453
26 	231   	1396.01	123.775	34.8163	122.825	45 	19.6733	3  	8.87919
27 	232   	1341.25	125.217	34.695 	116.995	53 	21.94  	3  	9.68072
28 	226   	887.661	121.933	23.6443	111.429	53 	22.0467	3  	9.88119
29 	231   	971.745	120.397	23.6443	103.77 	51 	23.3867	1  	9.75212
30 	226   	754.33 	122.093	18.6646	101.456	53 	23.6133	1  	10.3201
31 	223   	775.327	109.393	23.6443	79.4054	63 	23.8867	3  	9.75161
32 	212   	1266.51	109.211	15.4938	102.103	63 	24.48  	3  	10.3549
33 	209   	6392.78	119.582	18.6646	368.572	63 	25.2   	3  	10.5141
34 	210   	1586.53	105.919	18.6646	121.856	61 	25.4667	1  	10.9676
35 	220   	1183.85	111.454	18.6646	120.814	59 	27.32  	3  	9.88758
36 	206   	393.196	84.2192	15.4938	61.5735	65 	26.1333	5  	8.95594
37 	209   	1359.72	103.354	18.6646	117.774	63 	25.9867	3  	9.23254
38 	198   	1204.07	89.41  	11.3594	97.4983	63 	26.2667	1  	9.30352
39 	233   	576.051	92.7876	11.9087	77.1968	53 	25.9267	1  	9.18448
40 	193   	898.397	86.1526	11.9087	86.4388	47 	25.8   	1  	9.00222
41 	236   	1962.94	94.7458	11.9087	133.897	59 	25.7   	1  	9.17696
42 	214   	709.538	83.7453	11.9087	74.5381	53 	25.8733	1  	8.58044
43 	233   	597.477	83.4012	11.9087	76.3403	51 	25.46  	1  	8.58148
44 	219   	483.611	71.5089	11.9087	70.4342	47 	26.42  	3  	7.4079
45 	236   	2307.84	79.3301	11.9087	144.599	51 	26.9867	3  	8.08289
46 	225   	651.639	78.259 	11.9087	89.5708	57 	26.8867	3  	9.19133
47 	224   	1766.8 	82.4603	11.9087	128.35 	55 	26.2467	3  	9.60863
48 	231   	3133.41	84.9884	11.9087	194.562	57 	27.14  	3  	9.00928
49 	213   	2474.65	77.3993	11.9087	162.94 	57 	26.9133	3  	8.5498
50 	232   	2173.03	77.5098	11.9087	142.084	55 	27.7   	3  	8.19451
51 	225   	2233.79	83.5717	11.9087	163.004	57 	27.3667	3  	8.93601
52 	229   	1799.84	79.5294	11.9087	148.304	61 	27.64  	3  	8.55202
53 	209   	934.356	73.3612	11.9087	100.254	59 	27.5533	3  	8.53701
54 	226   	2233.79	69.9538	11.9087	147.573	53 	28.1467	1  	7.27863
55 	215   	837.491	71.5381	11.9087	92.9523	55 	28.3333	3  	8.88794
56 	210   	831.675	61.3249	11.9087	92.7197	59 	28.3133	1  	8.60049
57 	227   	1963.17	74.2807	11.9087	144.962	55 	28.44  	3  	8.4289
58 	212   	461.072	61.4106	11.9087	74.1572	53 	28.44  	3  	8.05852
59 	228   	1249.02	67.3696	11.9087	125.951	59 	28.22  	3  	9.38323
60 	212   	456.6  	59.686 	11.9087	75.6881	59 	28.9333	3  	8.29592
61 	224   	656.118	68.0788	11.763 	89.9001	61 	28.78  	1  	8.92141
62 	187   	597.896	60.7675	11.763 	76.428 	57 	29.3867	1  	8.00898
63 	209   	2233.79	70.9497	11.763 	146.857	61 	29.72  	5  	7.60975
64 	203   	1613.38	73.8497	11.763 	146.248	59 	29.3933	1  	7.85315
65 	210   	1237.05	57.2256	11.763 	92.5049	53 	28.4867	3  	8.07072
66 	206   	742.544	61.2083	11.763 	83.7386	59 	27.7067	3  	9.36273
67 	228   	445.144	62.2597	11.763 	76.104 	55 	28.84  	3  	7.76666
68 	228   	6040.41	111.128	11.763 	441.416	59 	28.26  	3  	9.45017
69 	233   	436.112	64.9451	11.763 	71.2882	57 	28.02  	3  	8.26476
70 	220   	2286.99	78.941 	11.763 	167.994	53 	27.7267	3  	8.08735
71 	212   	1711.87	65.9743	10.9695	118.655	51 	28.0467	1  	8.11323
72 	217   	2359.22	71.3226	10.9695	167.494	55 	27.54  	1  	9.02377
73 	226   	3178.51	71.2351	10.9695	195.041	61 	28.2133	1  	8.43768
74 	222   	3577.95	75.13  	10.9695	219.971	51 	27.8067	3  	8.67656
75 	217   	595.117	67.3725	10.9695	83.4014	59 	27.6267	1  	9.38264
76 	217   	973.855	73.0069	10.9695	109.549	59 	28.2533	1  	8.76066
77 	202   	788.888	62.6943	10.9695	94.3353	59 	28.6067	3  	8.16611
78 	223   	1269.25	65.2033	10.9695	107.812	57 	28.0533	3  	8.20145
79 	229   	829.961	68.939 	10.9695	98.7011	59 	27.1933	3  	9.72296
80 	203   	2496.14	68.9828	10.9695	175.226	57 	27.94  	3  	8.55315
81 	221   	2698.48	73.7668	10.9695	174.217	55 	27.9933	3  	8.9911
82 	221   	2661.66	88.2767	10.9695	214.833	57 	28.1   	3  	8.83346
83 	236   	779.563	66.1066	10.9695	92.4431	57 	28.4333	3  	7.86801
84 	205   	818.331	66.3067	10.9695	90.9693	59 	28.2933	3  	7.99879
85 	207   	2622.01	66.8291	10.9695	164.097	59 	28.0067	3  	8.33866
86 	223   	2661.66	78.6893	10.9695	226.006	55 	28.72  	3  	7.23521
87 	227   	2326.78	75.4019	10.9695	155.953	57 	28.2267	3  	8.39774
