generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,best_candidate_size,best_candidate_solution
1,19.888801324002998,0.02380838167092641,0.082129359223178,0.3627037072829651,4.395453901288869,247765212382922.3,24652327337194.74,2477652423435.3936,3.0,3.0,3.0,3.0,7.0,1.6583123951777003,3.9,0.013618260342278077,0.11669730220651238,-0.0009840213248133445,0.03717773665576384,7,"multiply(add(ARG108, ARG16), multiply(ARG63, ARG40))"
2,20.01886050856774,0.02060185534467072,0.039740347799189925,0.09409542683561141,0.4069874793268896,45329450.2924201,4510218.069170938,453347.23203251173,1.0,3.0,3.0,5.0,9.0,1.7310112651279888,3.94,0.01127404613942254,0.10617931125893848,0.1713229327680138,0.03619956081478491,3,"multiply(ARG88, ARG27)"
3,19.95495227808715,0.017939834679132082,0.04219253752511509,0.048352673771499294,0.14404965684783766,564089.0278743453,56126.10156448946,5641.369389222695,1.0,3.0,3.0,5.0,11.0,1.8653685962833189,4.02,0.010042299798876185,0.10021127580704771,0.26186007732417105,0.04406143825503312,7,"multiply(add(ARG36, ARG16), multiply(ARG63, ARG40))"
4,19.986825421899994,0.017943260976238922,0.03211123244671256,0.04099105531636098,0.05901042951044001,56.83906648809871,5.6491732531394225,0.6427294876262575,1.0,3.0,3.0,5.0,11.0,2.1483947495746682,4.38,0.010042299798876185,0.10021127580704771,0.26186007732417105,0.04406143825503312,7,"multiply(add(ARG36, ARG16), multiply(ARG63, ARG40))"
5,20.08280602290688,0.01791670717366091,0.029560070204652095,0.03793379381747285,0.047570775474200105,1248802.6844466445,124254.26932573887,12488.314782400117,1.0,3.0,3.0,5.0,13.0,2.367783773911799,4.44,0.010042299798876185,0.10021127580704771,0.26186007732417105,0.04406143825503312,7,"multiply(add(ARG36, ARG16), multiply(ARG63, ARG40))"
6,20.192236419494293,0.015405806593224542,0.025977536545975042,0.03470719811297913,0.046549842303861166,0.11042764687639804,0.017341067454254462,0.03812255019005506,1.0,3.0,3.0,7.0,9.0,2.0510110695008397,4.346534653465347,0.008834307947448803,0.09399099928955326,0.3506511938675573,0.03759680343873406,3,"multiply(ARG27, ARG37)"
7,20.358559704691288,0.015355125172579503,0.02225413745586934,0.028025419163526938,0.038233838518110116,0.20208848245741584,0.02550104184385804,0.03492770249777845,1.0,3.0,3.0,5.0,11.0,1.8970669088312853,4.306930693069307,0.00920546126541148,0.09594509505655556,0.32337028342784824,0.038166389577545895,3,"multiply(ARG16, ARG37)"
8,20.323561262928706,0.01536100146722327,0.020768764265998045,0.02711326122690227,0.036638998864018814,0.3200564731857402,0.0504686197393552,0.040524977924798075,1.0,3.0,3.0,5.0,11.0,2.113530940851696,4.643564356435643,0.00920546126541148,0.09594509505655556,0.32337028342784824,0.038166389577545895,3,"multiply(ARG16, ARG37)"
9,20.085929043983924,0.01535519862626255,0.019192642380355653,0.02554823547543378,0.03353319547800723,2.041370590924312,0.25825059261921784,0.06817174891971627,1.0,3.0,5.0,7.0,13.0,2.346401500169994,5.12,0.00920546126541148,0.09594509505655556,0.32337028342784824,0.038166389577545895,3,"multiply(ARG16, ARG37)"
10,20.299365462913556,0.014982402187019253,0.021082183089528268,0.025920001023166557,0.03785864915048642,1.0223988491971674,0.11031891791776988,0.04498747932303749,3.0,3.0,5.0,7.0,15.0,2.3928462477509798,5.237623762376238,0.00934379754554532,0.09666332057996621,0.31320214135219737,0.04326345414683243,7,"multiply(add(ARG40, ARG27), multiply(ARG63, ARG40))"
11,20.404462109214364,0.014990863418057561,0.019250723927092598,0.02373969568945235,0.033015298452427136,3.310131628393539,0.3269591201822464,0.06753834837157023,3.0,3.0,5.0,7.0,17.0,2.451929773016096,5.217821782178218,0.00934379754554532,0.09666332057996621,0.31320214135219737,0.04326345414683243,7,"multiply(add(ARG40, ARG27), multiply(ARG63, ARG40))"
12,20.11557910225747,0.014993157989186594,0.018107156276808624,0.02558748446866025,0.04182145410644343,2.1206231403023468,0.21481564439200138,0.06426696086164763,3.0,3.0,5.0,7.0,17.0,2.5458986625551296,5.28,0.00934379754554532,0.09666332057996621,0.31320214135219737,0.04326345414683243,7,"multiply(add(ARG40, ARG27), multiply(ARG63, ARG40))"
13,20.112175171514536,0.014790739595395943,0.017209173821032216,0.02495478060038777,0.040319270022110484,12220.985212890619,1215.9689457520742,122.24697574114201,1.0,3.0,5.0,7.0,17.0,2.973213749463701,5.2,0.009007324479576277,0.09490692535097887,0.3379339466030904,0.04104833881348773,7,"multiply(add(ARG16, ARG37), multiply(ARG63, ARG40))"
14,20.410895424472983,0.014663541121840849,0.015785565682202116,0.024561379551121167,0.03784167238591997,115.10168604591682,11.4304802329029,1.273061778858365,3.0,3.0,5.0,7.0,19.0,3.4324320882126917,5.6138613861386135,0.00888239229064172,0.09424644444562204,0.34711684674815435,0.03577960218616913,9,"multiply(add(division(ARG50, add(ARG50, ARG27)), ARG16), ARG37)"
15,20.11088105168892,0.01292877400375347,0.015388265980007164,0.020772438887883077,0.03541538801537368,10.552432052065647,1.1122143370957724,0.17075903424864033,1.0,3.0,4.0,7.0,21.0,3.669277858107778,5.58,0.00810752886072941,0.0900418172891319,0.4040716921217019,0.03505327479032542,1,ARG49
16,20.409063961735228,0.012928959475088576,0.015386710256289753,0.02316918313323895,0.03127842935908683,3.630669732960239,0.4040517162167368,0.08028717371600251,1.0,3.0,5.0,9.0,21.0,4.388272506869822,6.445544554455446,0.00810752886072941,0.0900418172891319,0.4040716921217019,0.03505327479032542,1,ARG49
17,20.558939089274645,0.012921169679014147,0.01605579029818748,0.023687324712828244,0.04392848681186162,0.9125360085996017,0.0964861838557148,0.04535361758603251,1.0,3.0,7.0,9.0,21.0,4.272916786106888,7.198019801980198,0.00810752886072941,0.0900418172891319,0.4040716921217019,0.03505327479032542,1,ARG49
18,20.476400599389308,0.012912823468934402,0.015394921852108516,0.024068794313759828,0.044905025677922435,2603.282883350068,263.77029762131724,31.69052449080858,1.0,3.0,7.0,9.0,27.0,4.932402582490727,7.475247524752476,0.00810752886072941,0.0900418172891319,0.4040716921217019,0.03505327479032542,1,ARG49
19,20.301020467701164,0.012922220683246412,0.015390211339196182,0.024811004588616396,0.04675804795396041,566656.4955245052,56379.111982405644,5702.935081425326,1.0,5.0,7.0,9.0,25.0,4.032815393741697,7.58,0.00810752886072941,0.0900418172891319,0.4040716921217019,0.03505327479032542,1,ARG49
20,20.47901559233651,0.012917336604755301,0.015377087823810583,0.02238040528851893,0.03652191461465915,9.247635889846503,0.9922722853015776,0.18080441742899628,1.0,5.0,7.0,9.0,17.0,3.853711591452465,7.01980198019802,0.00810752886072941,0.0900418172891319,0.4040716921217019,0.03505327479032542,1,ARG49
21,20.243342341229436,0.012918263961430828,0.015335105062415904,0.024281431901326325,0.04444198584883656,10232.537678472396,1018.1115613879741,102.46082139422428,1.0,5.0,7.0,9.0,19.0,4.054577659880249,7.02,0.00810752886072941,0.0900418172891319,0.4040716921217019,0.03505327479032542,1,ARG49
22,20.24585202862727,0.012907073857546133,0.014567320873757058,0.019318537745102046,0.04686530484630322,84637719.03517303,8421346.69760287,846377.3588314761,1.0,3.0,7.0,9.0,17.0,3.955553058675867,6.56,0.00810752886072941,0.0900418172891319,0.4040716921217019,0.03505327479032542,1,ARG49
23,20.168408335073764,0.012913565354274823,0.012947522064543715,0.014632356966097593,0.020888515540925592,0.9318135180667979,0.09642160936481164,0.034954473656484214,1.0,1.0,7.0,9.0,19.0,4.83201821188621,6.54,0.00810752886072941,0.0900418172891319,0.4040716921217019,0.03505327479032542,1,ARG49
24,19.9949046344409,0.012917089309641826,0.012941076935648797,0.014464553546849192,0.018289507444165628,128.27923849182756,12.762291864967482,1.348376018100143,1.0,1.0,3.0,9.0,17.0,5.097881913108619,5.46,0.00810752886072941,0.0900418172891319,0.4040716921217019,0.03505327479032542,1,ARG49
25,20.126160886957223,0.012903364430844022,0.012935636443152373,0.012947382961042387,0.014458274209293524,0.3819390676524699,0.03928715971227362,0.019458276157388463,1.0,1.0,1.0,7.0,21.0,5.0299368465154055,3.871287128712871,0.00810752886072941,0.0900418172891319,0.4040716921217019,0.03505327479032542,1,ARG49
