generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,errors_min,errors_lq,errors_med,errors_uq,errors_max,errors_std,errors_mean,bounds_min,bounds_lq,bounds_med,bounds_uq,bounds_max,bounds_std,bounds_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,test_rse,best_candidate_size,best_candidate_solution
1,17.86421010988761,0.9266131582844274,1.6918438544339383,58.47597041768596,7087.958647725833,213041431488.27673,18970969154.486412,2090141160.8969219,0.4744286922650099,1.24331056733269,58.02597041768596,7087.506463259813,213041431487.82904,18970969154.48654,2090141160.4453778,0.44244798890429954,0.4521844660194175,0.4521844660194175,0.4521844660194175,0.4579264909847434,0.0025001986065335737,0.45154435506241336,3.0,3.0,3.0,5.0,7.0,1.7083512519385469,4.256,843.8057975776079,29.048335538849862,-2.000251215678635,17.08,3.000251215678638,3,"div(ARG0, ARG4)"
2,17.714766378547324,0.830452910121684,1.2800705233728524,5.238095897609552,164.18787296775423,310628713.76491576,19769287.42380516,1603843.7347946253,0.3850714954198809,0.835508188658829,4.794462055723283,163.74249155305242,310628713.31953436,19769287.423887417,1603843.2875173436,0.4417614424410541,0.44538141470180304,0.44538141470180304,0.44687933425797505,0.45973647711511784,0.0037677148823397105,0.447277281553398,3.0,3.0,3.0,5.0,11.0,1.750885490259143,4.12,616.5278690648174,24.829979240120547,-1.1921376861496968,15.488013726281793,2.1921376861496986,3,"div(ARG4, 0.2477)"
3,17.625459714992303,0.8381921611619059,1.2110420364843508,1.3014990014253902,7.907592159866817,10074551365.307512,635892643.4343987,40336116.58808251,0.3850714954198809,0.7579213707423258,0.8486298023709974,7.454471494124792,10074551364.85202,635892643.4341999,40336116.13572627,0.44475728155339805,0.453120665742025,0.453120665742025,0.453120665742025,0.4572399445214979,0.0020407708050424684,0.45235622746185855,1.0,3.0,3.0,5.0,11.0,1.7056330203182628,4.104,616.5278690648174,24.829979240120547,-1.1921376861496968,15.488013726281793,2.1921376861496986,3,"div(ARG4, 0.2477)"
4,17.73980743342281,0.6559782623813435,1.212671065767412,1.2949036323708631,8.165897911264324,3907983.497210571,288502.1984228822,30796.69897709586,0.20485482271421446,0.7615476261002829,0.8445490410197223,7.714774471597194,3907983.0484588374,288502.1985438094,30796.248045123328,0.446629680998613,0.451123439667129,0.451123439667129,0.451123439667129,0.45411927877947295,0.0009733168166223972,0.4509319725259848,1.0,3.0,3.0,5.0,15.0,1.785998498947812,4.203187250996016,386.3748980957252,19.656421294216432,-0.3738016034581588,12.160659999999996,1.3738016034581593,3,"mul(0.1553, ARG3)"
5,17.77855298996178,0.652171050176073,1.0712710120632785,1.285789848298068,1.839408975857968,25667795866.348812,1620161155.6357176,103948717.65534957,0.20485482271421446,0.62395478460142,0.8384736208362096,1.3848215972171913,25667795865.901497,1620161155.6357434,103948717.20763288,0.4421983356449376,0.44731622746185856,0.44731622746185856,0.44731622746185856,0.4564285714285714,0.0017573387833357413,0.4477166712898753,3.0,3.0,3.0,5.0,13.0,1.8194328786740115,4.392,386.3748980957252,19.656421294216432,-0.3738016034581588,12.160659999999996,1.3738016034581593,3,"mul(0.1553, ARG3)"
6,17.743694910333943,0.6501114107863364,1.0663592653000882,1.2862886096164337,1.977056532738379,3923757.7861348717,249969.72310967525,21297.691845658217,0.20485482271421446,0.6211026772279662,0.8410320215443118,1.5296154786468397,3923757.334262472,249969.7227537798,21297.245901280392,0.4432593619972261,0.445256588072122,0.445256588072122,0.445256588072122,0.4567406380027739,0.0022463643460468915,0.4459443778284919,1.0,3.0,3.0,5.0,15.0,1.883413199969917,4.402390438247012,386.3748980957252,19.656421294216432,-0.3738016034581588,12.160659999999996,1.3738016034581593,3,"mul(0.1553, ARG3)"
7,17.665348546643145,0.65054830399022,1.046464937779493,1.267269111907527,1.548659700730551,1015294105.0043765,70582955.47029404,6175640.954002428,0.20485482271421446,0.6007714565034876,0.8215756306315216,1.0898594233380403,1015294104.558683,70582955.47034383,6175640.507713772,0.4456934812760055,0.4456934812760055,0.4456934812760055,0.4456934812760055,0.45880027739251045,0.0024638455092584233,0.4462886546463245,1.0,3.0,3.0,5.0,13.0,1.8890166754160747,4.296,386.3748980957252,19.656421294216432,-0.3738016034581588,12.160659999999996,1.3738016034581593,3,"mul(0.1553, ARG3)"
8,17.633433610637667,0.6542306895658094,1.0411785203020756,1.2677101289281294,1.319948876797434,14277616889.023684,901184816.0982863,57164492.70334748,0.20485482271421446,0.5918026534504804,0.8183342620765344,0.8699176701400135,14277616888.578053,901184816.0985234,57164492.253972106,0.4456310679611651,0.44937586685159503,0.44937586685159503,0.44937586685159503,0.450624133148405,0.0002944422860560388,0.4493753675450762,1.0,3.0,3.0,5.0,13.0,1.928315326911032,4.36,386.3748980957252,19.656421294216432,-0.3738016034581588,12.160659999999996,1.3738016034581593,3,"mul(0.1553, ARG3)"
9,17.690137153168052,0.6242298252876006,0.9741539285425789,1.2674604756687673,1.3057984195617935,499981239505.72253,31495607219.24562,1991963992.493291,0.17510361169536764,0.525027714950346,0.8183342620765344,0.8566722059695605,499981239505.27344,31495607219.24562,1991963992.0441372,0.449126213592233,0.449126213592233,0.449126213592233,0.449126213592233,0.45087378640776704,0.00021884671459331114,0.44915406335821767,1.0,3.0,3.0,5.0,15.0,2.1633722933622925,4.49003984063745,360.56707146960485,18.988603726172308,-0.28203882648823697,12.599159999999994,1.2820388264882374,3,"mul(0.1553, ARG0)"
10,17.833681505241202,0.6292853037896811,1.045984345544794,1.272515954170848,1.3112439054040093,556079.1294473567,43766.97010008205,4596.644139890206,0.17510361169536764,0.5918026534504804,0.8183342620765344,0.8587575371372664,556078.6752656646,43766.97008417192,4596.19011236646,0.44581830790568655,0.45418169209431347,0.45418169209431347,0.45418169209431347,0.45418169209431347,0.0010184678451451168,0.45402752374689875,1.0,3.0,5.0,5.0,13.0,2.00512034825601,4.649402390438247,360.56707146960485,18.988603726172308,-0.28203882648823697,12.599159999999994,1.2820388264882374,3,"mul(0.1553, ARG0)"
11,17.86106660139626,0.6260398114179752,0.9702153178047713,1.2666953352195927,1.7549681363050116,253316.44528977413,16033.858237945418,1190.4054801222696,0.17510361169536764,0.5192791180821638,0.8157591354969852,1.3040319365824042,253315.9943535744,16033.858237205934,1189.954555858161,0.44531900138696257,0.4509361997226075,0.4509361997226075,0.4509361997226075,0.45480582524271845,0.00044804392703155554,0.45092426410861414,3.0,3.0,5.0,5.0,13.0,2.2585952185094245,4.8804780876494025,360.56707146960485,18.988603726172308,-0.28203882648823697,12.599159999999994,1.2820388264882374,3,"mul(0.1553, ARG0)"
