generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,errors_min,errors_lq,errors_med,errors_uq,errors_max,errors_std,errors_mean,bounds_min,bounds_lq,bounds_med,bounds_uq,bounds_max,bounds_std,bounds_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,best_candidate_size,best_candidate_solution
1,28.36253399999987,0.3479126213592537,0.3504368932038905,0.3504368932039121,0.3504368932097083,0.6504368932038859,0.018954129721975254,0.35145027054718897,414.89158401382383,1595.7293112650748,51191.42824135743,1233218.4219230867,5.1060327689006424e+16,3222839427635086.5,204865711409359.44,0.49701803051317617,0.5006241331484049,0.5006241331484049,0.5006241331484049,0.5033980582524271,0.0007179912768972869,0.5003522884882107,3.0,3.0,3.0,7.0,7.0,1.7906423428479512,4.44,5249.213431793129,72.45145569133258,-17.664198593214174,64.7089,3,"mul(ARG2, -0.5046)"
2,28.029271000000335,0.34703883495146226,0.34907766990298683,0.35199029126214165,0.3519902912623881,0.6519902912621369,0.019044784809948565,0.35222060451204884,294.4170120085697,1577.8294632454924,14735.2922371706,552556.8341718593,8.198092589480216e+16,5166358837363577.0,337338402558656.9,0.4957697642163661,0.4986823855755894,0.5028432732316228,0.5028432732316228,0.5068654646324549,0.0025194290411307656,0.5014087892535268,1.0,3.0,5.0,6.0,9.0,1.82954870292477,4.601593625498008,1575.4617900764608,39.69208724766765,-4.601740548004947,34.660909090909094,5,"div(sub(ARG6, ARG5), ARG0)"
3,27.86138800000026,0.3451456310850198,0.34854368933638136,0.3485436961981518,0.3514563118481258,0.6485436893238494,0.018972517222838117,0.3507878026806043,329.486188631776,1578.5069496352473,13069.069735090154,493457.97147503437,28558975531449.348,1802707920021.154,118842008398.2332,0.4930651872399445,0.49791955617198336,0.49791955617198336,0.5020804438280166,0.5066574202496532,0.0027412726752245125,0.49934202496532587,1.0,3.0,5.0,7.0,13.0,1.9434567142079597,4.824,1560.6226225042276,39.504716458977754,-4.548978134335755,34.42885057471264,5,"div(ARG2, sub(ARG1, ARG3))"
4,27.908509000000777,0.34708738877241063,0.34718446638798744,0.3472370128614821,0.35148042367656596,0.652135922399047,0.024347427102036343,0.3518439237120531,294.4170120085697,1565.5287151086893,9135.75979651932,336932.6740511661,1281003334314.7285,102795481292.71353,11417269402.667587,0.4958391123439667,0.49597780859916785,0.49597780859916785,0.5018030513176144,0.5074895977808599,0.0033634562412746148,0.4988144244105409,1.0,3.0,5.0,7.0,13.0,2.0330233643517235,4.896,1118.8934745092893,33.449865089552894,-2.9783579548144017,28.21460836,5,"mul(-0.4132, mul(ARG7, -0.3109))"
5,27.900620999999774,0.3399514564111614,0.34208737873118295,0.3420873788669038,0.34810679622629437,0.6519902912798141,0.020266533358219707,0.3468306991342214,294.4170120085697,1506.7113495145636,1578.4800958416074,31121.734646324567,4996262317438.025,315819415283.7807,21676343693.54963,0.48564493758668514,0.4886962552011096,0.4886962552011096,0.4972954230235783,0.5117198335644937,0.008216274512143058,0.493613065076725,1.0,3.0,5.0,6.0,13.0,2.1230537030605117,4.713147410358566,1601.6834528956424,40.02103762892265,-4.694974768457348,34.93278591549296,9,"sub(div(add(ARG4, ARG2), sub(ARG0, ARG3)), -0.1082)"
6,27.866838000000826,0.345582524425641,0.35354368943208686,0.35354368946998266,0.3535436894770006,0.6535436893974285,0.019070111745198036,0.35387312488988937,775.9473287078227,1486.863340064507,1563.141942130337,12784.475417917416,3021594487625.1626,190332900431.68817,12247393211.694752,0.49368932038834945,0.5050624133148405,0.5050624133148405,0.5050624133148405,0.5065880721220527,0.0030047553155014635,0.5037959120522073,1.0,3.0,3.0,5.0,15.0,2.2540648262947167,4.617529880478088,1497.1787315598042,38.69339390076559,-4.323395883680643,33.50195769230769,3,"div(-0.3109, ARG1)"
7,27.89367200000015,0.34417475728267344,0.3493203883503672,0.34932038835058843,0.3493207444756433,0.6493203883500398,0.018957503809599267,0.35066937936629405,755.143590000667,1506.7113495145636,1577.55480981133,10252.399115398763,431253418056534.4,27220233753092.95,1725377582116.249,0.49167822468793343,0.4990291262135922,0.4990291262135922,0.4990291262135922,0.5033287101248266,0.0015547904399707275,0.4992416088765603,1.0,3.0,5.0,7.0,15.0,2.3528161849154303,4.984,1569.8408224368075,39.62121682175861,-4.581754533399957,33.94609006433167,5,"div(sub(ARG1, ARG3), ARG1)"
8,28.07131500000014,0.3437378662762632,0.3490291411761901,0.3562621377796025,0.3562621380994734,0.6562621369745509,0.01981115113402899,0.3546128654205867,755.143590000667,1534.15979251602,1577.8814369877562,17627.325848554785,215299906124.29794,13721498554.25852,1050736204.7559522,0.4910540915395284,0.4986130374479889,0.5089459084604715,0.5089459084604715,0.5100554785020804,0.006185386426562978,0.5044982345237634,1.0,3.0,5.0,7.0,15.0,2.4630408790555745,5.0717131474103585,1524.214738263155,39.04119283863078,-4.419525600034438,33.73039940904419,5,"div(-0.3109, add(ARG1, ARG6))"
9,28.13032000000021,0.34635923038844113,0.34927184551231716,0.3492718978980109,0.3507282310928216,0.6522815540345674,0.019086558993625505,0.3512410793436383,1125.466304641302,1553.498680531659,1785.362566321697,22236.551225214083,530455613533.40186,33421630819.351063,2167442786.176537,0.4947988904299584,0.4989597780859917,0.4989597780859917,0.5010402219140083,0.5036754507628294,0.001758889694577172,0.5000218267015156,3.0,3.0,5.0,7.0,15.0,2.675345527384042,5.47011952191235,12904.204124271846,113.59667303346453,-44.88242249858567,64.49999999999999,5,"sub(ARG4, sub(ARG7, ARG1))"
10,28.096026999999594,0.34505524825712236,0.3496656283558563,0.3534038672765596,0.3534047881735604,0.6534017650482034,0.025495651438495266,0.3548420058940909,860.6012191400827,1536.378461661328,1579.6336564499532,12114.488838281488,69651410.92261887,5917249.265796605,841550.229501268,0.4929264909847434,0.4991678224687933,0.5048543689320388,0.5048543689320388,0.5073509015256588,0.004018983191441145,0.501738952649872,1.0,3.0,5.0,7.0,15.0,2.34812483886287,5.01593625498008,1508.3120633799747,38.83699349048501,-4.362981760459295,33.58920202020202,3,"div(-0.2891, ARG4)"
