generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,best_candidate_size,best_candidate_solution
1,15.428503325005295,1287.559688053269,2430.9780530054995,144077.55219620123,358994091.8096516,1.2308509331639853e+17,1.225570008218832e+16,1291985415483367.0,3.0,3.0,5.0,7.0,7.0,1.8567713914211412,4.82,736.9103961165049,27.146093570097797,-1.6201719852386085,20.59,3,"add(ARG4, ARG4)"
2,15.295288294990314,1290.030484896015,2258.1745221274396,8941.476034477222,651255.1695035107,2361184960111.8223,234925325953.6444,25369011486.862362,3.0,3.0,3.0,7.0,9.0,1.8730723424363511,4.46,736.9103961165049,27.146093570097797,-1.6201719852386085,20.59,3,"add(ARG4, ARG4)"
3,15.466921297018416,1290.352762745069,2174.6486088947895,2324.787293091077,14295.041013795939,12712614565635.1,1264888651490.3027,139729891780.85754,1.0,3.0,5.0,5.0,11.0,1.8819175240422528,4.623762376237623,736.9103961165049,27.146093570097797,-1.6201719852386085,20.59,3,"add(ARG4, ARG4)"
4,15.48562353599118,1290.57955086107,1999.796610928176,2296.591509357819,2368.863296388171,19935771841586.477,1973838427601.058,197387568605.69244,1.0,3.0,5.0,7.0,11.0,2.092086470820941,4.861386138613861,736.9103961165049,27.146093570097797,-1.6201719852386085,20.59,3,"add(ARG4, ARG4)"
5,15.309867685980862,1290.8779562768605,1727.1524369740525,2261.6447871967875,2371.088764743671,1.6788221368292184e+16,1670406935220984.0,167882214285678.6,1.0,3.0,5.0,5.5,13.0,2.3371777852786466,4.76,736.9103961165049,27.146093570097797,-1.6201719852386085,20.59,3,"add(ARG4, ARG4)"
6,15.480214822979178,1278.5779738475019,1703.8171716560782,1802.2491079738425,2327.349435040605,1066828383.0993867,135184368.74822128,19145270.66734376,1.0,3.0,5.0,5.0,11.0,2.4650085258765047,4.623762376237623,763.7812105566501,27.63659187665241,-1.7157143409817919,21.479780219780217,5,"add(ARG4, division(ARG5, ARG3))"
7,15.491152924019843,875.1905153175726,1577.889561808528,1720.3956099163424,2163.7034958597833,207205086.3008114,20511205.580984607,2104444.790685953,1.0,3.0,5.0,5.0,13.0,2.2541229964857625,4.524752475247524,633.7993185858629,25.175371270069938,-1.2535483656814206,18.8011301331543,5,"division(multiply(ARG3, ARG3), ARG6)"
8,15.533326313016005,873.6940621646488,1329.6537416457127,1719.3599181199086,5643.257949916054,3690590897.801759,365400411.7957137,36587139.583439045,1.0,3.0,5.0,5.0,11.0,2.235958374383409,4.445544554455446,633.7993185858629,25.175371270069938,-1.2535483656814206,18.8011301331543,5,"division(multiply(ARG3, ARG3), ARG6)"
9,15.398635583987925,875.8618970023979,1292.4445847097609,1680.6824708624038,3676.9743361727164,38046478924.66811,3787790206.6153975,400713111.022931,1.0,3.0,5.0,5.0,11.0,2.1926239987740717,4.82,633.7993185858629,25.175371270069938,-1.2535483656814206,18.8011301331543,5,"division(multiply(ARG3, ARG3), ARG6)"
10,15.419884221017128,875.6515846673924,1324.3656379464774,1683.8323140741502,7389.234545431394,175875512.70434722,17498406.194154777,1922008.4058978937,1.0,3.0,5.0,5.0,17.0,2.5470767558124354,5.18,633.7993185858629,25.175371270069938,-1.2535483656814206,18.8011301331543,5,"division(multiply(ARG3, ARG3), ARG6)"
11,15.396916544006672,874.1955761942772,1291.2479789924407,1635.1069052744883,8276.286199695416,20389236.104681123,2038654.9666307603,266853.0470266876,1.0,5.0,5.0,7.0,13.0,2.1550870052041984,5.34,633.7993185858629,25.175371270069938,-1.2535483656814206,18.8011301331543,5,"division(multiply(ARG3, ARG3), ARG6)"
12,15.522910186002264,874.9235804308348,1290.50793356128,1680.4679768131755,2369.322498360105,4477352236.508339,443293706.6918009,44416377.367108494,1.0,3.0,5.0,7.0,13.0,2.105724362464704,5.03960396039604,633.7993185858629,25.175371270069938,-1.2535483656814206,18.8011301331543,5,"division(multiply(ARG3, ARG3), ARG6)"
13,15.401321440003812,875.0610923421846,1289.1680932443803,1330.219117648557,2106.117989332711,20409220.006919645,2927034.259703048,566511.6458644946,1.0,3.0,5.0,7.0,11.0,1.8815950680207474,5.14,633.7993185858629,25.175371270069938,-1.2535483656814206,18.8011301331543,5,"division(multiply(ARG3, ARG3), ARG6)"
14,15.434790058003273,524.0709317682342,1278.2853754910122,1324.4541136781004,2243.3030909914614,3380393076.030384,336324685.9021392,34067242.682109766,1.0,3.0,5.0,7.0,11.0,1.8325937902328493,5.04,372.87938079419,19.31008495046539,-0.3258166970894405,14.797936925098547,7,"add(division(ARG3, division(ARG5, ARG3)), ARG4)"
15,15.484429600997828,524.3717984463485,1151.0764017886354,1292.2207806479182,1796.38498000204,1788798723.2719817,177978780.2163204,17933692.18062356,3.0,3.0,5.0,7.0,15.0,2.080288441538817,5.18,372.87938079419,19.31008495046539,-0.3258166970894405,14.797936925098547,7,"add(ARG4, division(ARG3, division(ARG5, ARG3)))"
16,15.482435629004613,522.7596328676138,1074.9581643764668,1291.1882979092827,1698.5562420042124,1586564.9398701706,276319.0740328863,64387.65277225688,1.0,3.0,5.0,7.0,11.0,2.0199009876724157,5.4,369.3158966605798,19.217593414904474,-0.3131463081982906,14.94379833368938,9,"add(ARG4, division(subtract(ARG3, ARG4), division(ARG5, ARG3)))"
17,15.611272515991004,522.5714110217186,1080.3428181121299,1629.4473205796623,16696.890805717063,8.832805787981119e+21,8.745352265327748e+20,8.745352265336919e+19,3.0,5.0,5.0,7.0,13.0,2.209318919759422,5.99009900990099,369.3158966605798,19.217593414904474,-0.3131463081982906,14.94379833368938,9,"add(ARG4, division(subtract(ARG3, ARG4), division(ARG5, ARG3)))"
18,15.48036111300462,520.6071471427604,1133.707676005013,1633.588082746725,1895.172866037213,1786867393.8583074,177778790.69389635,18106984.489025053,3.0,5.0,5.0,7.0,11.0,2.1610182784974308,6.1,369.3158966605798,19.217593414904474,-0.3131463081982906,14.94379833368938,9,"add(ARG4, division(subtract(ARG3, ARG4), division(ARG5, ARG3)))"
19,15.608120468998095,521.3359035204574,1069.5621760292447,1510.0263156664835,1701.1414651281375,20422793.978251472,2768858.8736027326,446169.1090756305,3.0,5.0,5.0,7.0,13.0,2.312681397331712,6.089108910891089,369.3158966605798,19.217593414904474,-0.3131463081982906,14.94379833368938,9,"add(ARG4, division(subtract(ARG3, ARG4), division(ARG5, ARG3)))"
20,15.508884929993656,522.194967329928,1292.5072498470772,1688.6954194819764,34377.61604754359,56340829.01236585,6252481.250236553,1018489.5185395203,3.0,4.5,5.0,7.0,15.0,2.859090764561349,6.16,369.3158966605798,19.217593414904474,-0.3131463081982906,14.94379833368938,9,"add(ARG4, division(subtract(ARG3, ARG4), division(ARG5, ARG3)))"
21,15.439833048003493,521.6544327981262,1068.095078951753,1633.6409770636124,5646.026275564147,1786189661.031167,177692026.81856185,18424169.09778826,1.0,4.5,5.0,7.0,11.0,2.457315608545227,5.96,369.3158966605798,19.217593414904474,-0.3131463081982906,14.94379833368938,9,"add(ARG4, division(subtract(ARG3, ARG4), division(ARG5, ARG3)))"
22,15.471039022988407,521.2442056980981,1063.5076006682273,1292.5848352551825,2008.2868524632875,1785263977.1697075,177609947.80576,18220637.996401194,1.0,3.0,5.0,7.0,11.0,2.5670995305986875,5.9,369.3158966605798,19.217593414904474,-0.3131463081982906,14.94379833368938,9,"add(ARG4, division(subtract(ARG3, ARG4), division(ARG5, ARG3)))"
