generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,errors_min,errors_lq,errors_med,errors_uq,errors_max,errors_std,errors_mean,bounds_min,bounds_lq,bounds_med,bounds_uq,bounds_max,bounds_std,bounds_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,best_candidate_size,best_candidate_solution
1,15.733220362424618,496.322953909998,2481.640468256301,86206.60758084901,33264213.363589987,6.021041678620062e+20,5.99086082838402e+19,6.021041692380246e+18,330.75046423438533,1654.8110019238106,57450.41579865527,22156020.35644141,4.0226197891799076e+20,4.002456154398264e+19,4.0226197983561364e+18,0.49589459084604715,0.49875866851595,0.5000416088765604,0.5012343966712899,0.5059361997226075,0.0018436770867391533,0.4999811373092926,3.0,3.0,3.0,7.0,7.0,1.8347751905887546,4.44,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
2,15.582688527319988,497.23125615574565,2277.536883070181,5687.839199072299,88566.92990814097,12440234118479.59,1239771194654.0493,134383538348.59146,330.75046423438533,1518.2174985665774,3793.6049063084956,59134.02928068719,8292185971159.212,826383212212.3855,89573908541.50238,0.49335644937586687,0.4988002773925104,0.5000901525658807,0.5010957004160888,0.5033425797503467,0.0018340569147478434,0.49995090152565885,3.0,3.0,3.0,5.0,9.0,1.7022338264762567,4.32,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
3,15.668862237449503,496.125696351578,2259.4818936506745,2370.0924321480798,24590.89172635231,789009917045.7095,78154041626.83154,8134406986.639413,330.75046423438533,1506.7113495145636,1577.8294632454924,16431.302764216354,525059901416.7304,52009066804.99712,5413648096.426745,0.4963106796116505,0.4988488210818308,0.499750346740638,0.5010818307905687,0.5046324549237171,0.0016880008760892286,0.49999121132640306,3.0,3.0,3.0,5.0,9.0,1.6403403904105134,4.227722772277228,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
4,15.538585759459238,496.14863327697566,2189.178698364666,2355.335114367913,8130.000004773935,320618522.0659305,31984921.103966396,3578049.9506627624,330.75046423438533,1459.9823531872426,1572.387843674168,5426.447515950073,213757540.32543263,21324766.25360982,2385946.9721492697,0.49449375866851597,0.4988002773925104,0.5001178918169209,0.5011303744798891,0.5036754507628294,0.0018054127073949269,0.5000224687933426,3.0,3.0,3.0,5.0,9.0,1.7548789132017055,4.02,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
5,15.5900690148992,496.37800253095236,1699.9342346624833,2273.254725303054,7417.997753385719,92632000309.97342,9216409089.355225,947391825.8643957,330.75046423438533,1132.9673561993704,1515.5841226421476,4947.813748635911,61900044694.41947,6158733735.642474,633030415.9691062,0.49468793342579753,0.49862343966712896,0.5000208044382801,0.5012309292649098,0.5039389736477116,0.0020061568510771973,0.4998732316227462,1.0,3.0,3.0,3.0,11.0,1.8602150413325875,3.86,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
6,15.538865245762281,496.19909451285054,1649.3499422011903,2272.8259369533703,27165.194619124355,6.505920011597794e+18,6.473308622712337e+17,6.5059255487385064e+16,330.75046423438533,1097.714267027031,1513.931793567867,18110.696430343793,4.328634745549351e+18,4.306937154589186e+17,4.328638432692624e+16,0.49653259361997226,0.49910194174757283,0.5003328710124826,0.5012898751733703,0.5051040221914008,0.0017517593502789093,0.5001765603328711,3.0,3.0,3.0,5.0,11.0,1.862793601019716,4.1,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
7,15.681963655966683,495.32290396265955,1389.2895004748182,2002.244217577978,7322.319544788339,52904700.83661184,5246053.749244452,644782.2929635025,330.75046423438533,925.9960709625728,1332.340963594324,4888.462079309974,35246335.59091233,3495055.5555421305,429637.6255117753,0.4957004160887656,0.49890429958391125,0.5000693481276005,0.5013453536754507,0.5047156726768377,0.0019069297766981777,0.5000944782411666,3.0,3.0,3.0,5.0,11.0,1.6553318450698111,3.9504950495049505,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
8,15.548150053975405,497.09363460335965,1365.3791962293533,1847.3627895602187,2341.00988176342,6274563168.561018,626470219.1002313,68656262.1771406,330.75046423438533,911.776798623374,1231.0696994895343,1560.2400995623402,4172086287.0801535,416560948.96919715,45660593.274019346,0.49639389736477113,0.49914355062413307,0.5001595006934814,0.5016158113730929,0.5039389736477116,0.0017684184542805929,0.5003169209431345,1.0,3.0,3.0,5.0,9.0,1.3883803513446882,3.82,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
9,15.785102924673993,496.64407086556537,1293.8023293516083,1647.5153434608746,2258.3952224970717,2728330.8700742205,365943.28094519675,58775.48713825666,330.75046423438533,860.6012191400824,1097.714267027031,1506.7113495145636,1817525.992851875,243869.40686865014,39174.51485154032,0.49567267683772537,0.4987656033287101,0.5000693481276005,0.5013453536754507,0.5045631067961165,0.0018324132112628485,0.5001018936845141,3.0,3.0,3.0,5.0,7.0,1.217781533585885,3.732673267326733,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
10,15.57186796748283,497.88725222211895,1291.5284800832837,1632.341288134382,2064.734779193343,1267756.2808969407,129031.81510738794,19078.89766057534,330.75046423438533,860.6012191400824,1089.6229278779476,1375.645856964041,846673.9644368128,86181.55371588843,12741.492360143235,0.49413314840499306,0.4986650485436893,0.5002773925104023,0.5019382801664355,0.5057004160887656,0.0022530779166661337,0.5001965325936198,1.0,3.0,3.0,5.0,7.0,0.9738583059151881,3.54,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
11,15.738528609916102,496.6027843998495,1290.4005076115955,1293.3606893362382,1705.2271955786423,314048817.0086125,31103011.39207199,3230096.9515276086,330.75046423438533,860.6012191400824,860.6012191400824,1137.2282265562255,209711033.47461343,20769434.687581882,2156606.784780941,0.4958252427184466,0.49875173370319004,0.4995977808599168,0.5009153952843273,0.5041886269070736,0.0017591521046994617,0.49982230400571265,3.0,3.0,3.0,5.0,7.0,1.043321970084712,3.613861386138614,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
12,15.764952588368033,496.17615758745285,1290.9137649267552,1294.375267749926,1698.1553660892487,10863021991.737816,1949747627.0742338,396160261.79748136,330.75046423438533,860.6012191400824,860.6012191400824,1134.5163259362012,7216524947.5205145,1298174906.5101123,263795303.33803988,0.4966990291262136,0.49865464632454926,0.5003467406380028,0.5014147018030514,0.5052981969486824,0.0018385198297762686,0.5002456708916384,3.0,3.0,3.0,5.0,13.0,1.7490877367899869,4.00990099009901,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
13,15.85032056964701,496.125696351578,1289.9588675962254,1291.3434687254937,1632.651097704722,2722154.810875209,271124.9764962981,33185.10025083352,330.75046423438533,860.6012191400824,860.6012191400824,1089.6229278779476,1817525.992851875,181016.72910937265,22147.046325913107,0.49360610263522886,0.49879334257975033,0.5000138696255201,0.5012760055478502,0.5052149791955617,0.0018158156137583076,0.49999794015462573,3.0,3.0,3.0,5.0,7.0,1.335716590419014,3.910891089108911,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
14,15.644219913025154,496.64407086556537,1289.4456102810657,1291.5105757583365,1660.157404760293,391221537.2853115,38959241.29302455,4124832.9770078366,330.75046423438533,860.6012191400824,860.6012191400824,1105.5581087543328,260655289.77481112,25957043.958611976,2748346.7182225827,0.49395284327323163,0.4986997226074896,0.49968099861303744,0.5009188626907073,0.5052011095700416,0.002035656140418198,0.49985159500693477,3.0,3.0,3.0,5.0,11.0,1.7685021911210628,4.18,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
15,15.818483607508824,496.6165465550881,1243.720109704596,1291.653810357916,1658.383181194013,1484952.3218965526,193472.72809706553,32740.109625894704,330.75046423438533,827.348986572878,860.6012191400824,1104.9042882734536,991398.2481317614,129140.77650828422,21848.95876246103,0.49640776699029127,0.49869625520110955,0.5004299583911235,0.5014840499306519,0.5044244105409154,0.001852194542798929,0.5002006289394544,3.0,3.0,3.0,5.0,9.0,1.7055012277334234,4.267326732673268,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
16,15.747051234509854,496.0614729604645,1186.8506658280342,1292.728069854762,1720.722251175218,769360922.0247176,76543806.7305294,7769960.376230679,330.75046423438533,790.3409957481815,860.6012191400824,1148.8212080443845,511899102.8116805,50928892.61305053,5169905.492040173,0.49337031900138695,0.4987378640776699,0.5002219140083217,0.5015707350901525,0.5047295423023578,0.001916337604561069,0.5001386962552011,3.0,3.0,5.0,7.0,11.0,2.0333224043422136,4.84,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
17,15.673584189840767,496.62572132524724,1109.7202851537631,1290.5318059945434,1636.6446186297114,2726818.365780585,340148.4210752054,60882.50657859103,330.75046423438533,739.9982664149748,860.6012191400824,1089.6229278779476,1817525.992851875,226743.00613457026,40592.423195521056,0.4963245492371706,0.4984847434119279,0.49972260748959774,0.5008876560332871,0.5038418862690708,0.0016052933938248168,0.4997830790568655,3.0,3.0,5.0,7.0,11.0,2.1507208094032104,5.12,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
18,15.718432349371142,496.263317903964,1069.1038856533014,1290.1856557122262,1718.8510893097343,2729540.8735091286,286779.00408782146,47026.78874577674,330.75046423438533,713.1694965325942,860.6012191400824,1145.2654907531291,1817525.992851875,191024.24372239318,31345.519246817235,0.49640776699029127,0.4986130374479889,0.4997711511789181,0.5008356449375867,0.503633841886269,0.0015498850396810763,0.49983148404993066,3.0,3.0,5.0,7.0,11.0,2.0764392598869827,5.22,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
19,15.730947188181744,496.4192889966682,1064.18615911295,1271.953614040883,1292.1581155106019,866053759.5036651,86171942.48075174,8892219.896003313,330.75046423438533,709.0444038335846,849.0565818163361,860.6012191400824,576314062.6519572,57343021.94636973,5917689.750122599,0.4954230235783634,0.4988938973647712,0.5000277392510403,0.5011165048543689,0.5032316227461858,0.0016285120841086356,0.5000108183079057,3.0,3.0,5.0,7.0,13.0,2.483867951401604,5.48,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
20,15.961414098230307,496.5936096296905,1063.6256108325267,1278.7024071710402,1634.9935603097297,3049042.9886656418,605822.9926369247,143066.9554769517,330.75046423438533,709.0444038335846,851.3111494965882,1089.6229278779476,2030967.6417914743,403303.35115956847,95244.63489035047,0.49374479889042994,0.4987101248266297,0.4999722607489598,0.5009570041608876,0.5064771151178918,0.0019376395705471823,0.49996635585888693,1.0,3.0,5.0,7.0,15.0,2.917685879776934,5.891089108910891,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
21,15.981692508714332,496.0844098858622,1032.394756052347,1247.9628654973014,1609.2207311545712,20130205369.434357,1993020527.6238778,200080437.2842567,330.75046423438533,687.2689113456047,834.2276196698941,1074.6321998040567,13434546597.702734,1330107092.8694928,133529016.47305413,0.4959500693481276,0.49841886269070734,0.49983356449375865,0.5008460471567268,0.5066851595006935,0.0018655750160467101,0.49976847337993163,1.0,5.0,7.0,9.0,19.0,3.3975258705382037,7.316831683168317,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
22,15.832184128536028,495.9238514080785,1030.9366302781752,1075.286930770544,1555.312653880653,1342792.7884829012,133798.52323327173,19618.0381042821,330.75046423438533,686.961804241931,715.9848559256202,1035.6182842809358,894227.7891658325,89104.14868638155,13069.89685349322,0.49622746185852984,0.49877947295423025,0.5002219140083217,0.5014147018030514,0.5042857142857143,0.001862797055322897,0.5001597780859917,3.0,5.0,7.0,9.0,27.0,4.073524272666115,7.92,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
23,15.893169349066739,495.9743126439534,1015.670864360721,1190.9565859778522,1564.3667958389865,20422511.876832537,2269744.333685513,337751.82948030875,330.75046423438533,677.8080125547705,794.6350506229821,1042.452728058283,13629753.004356315,1514809.7545986737,225390.35367278027,0.4953814147018031,0.4984570041608877,0.49980582524271844,0.500998613037448,0.5047711511789181,0.0018548947984472213,0.49984729542302353,3.0,5.0,9.0,11.5,21.0,4.519955751995809,9.1,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
24,16.038244370640314,495.5522732166363,1015.6670405046103,1065.4351000184542,1290.827227356176,41654.42652816047,9879.972958023249,4316.916260072424,330.75046423438533,677.8080125547705,709.0444038335846,860.6012191400824,27715.289055945534,6581.33666230009,2876.474776245774,0.49475728155339804,0.4987413314840499,0.49999306518723996,0.5012517337031901,0.504493758668516,0.0019057382843093993,0.5000079056865465,3.0,7.0,9.0,13.0,27.0,4.800791601392421,9.82,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
25,15.976315670384793,496.0752351157031,963.4910051114387,1044.899095413677,1552.0991041082862,2821233.9828102025,321335.44720635674,54861.250062519706,330.75046423438533,642.2126576061265,696.5398164631149,1034.378132498784,1878807.475667482,214061.24698716818,36558.56607820416,0.49330097087378644,0.49887656033287103,0.5000693481276006,0.5014424410540916,0.5040083217753121,0.0020157042991068162,0.4999753120665742,3.0,7.0,9.0,13.0,23.0,4.207802276723563,9.88,349.074153088989,18.683526248783686,-0.24117439720589773,13.287200000000002,3,"multiply(ARG3, 0.1932)"
