generation_num,generation_time,fitness_min,fitness_lq,fitness_med,fitness_uq,fitness_max,fitness_std,fitness_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,mse,rmse,r2,mae,best_size,best_solution
1,0.01054790114953652,123.56412758101176,207.22173597839014,207.73006987922423,216.58763675076355,7823.4370717340835,1367.1088185534636,463.90377925979715,3.0,3.0,4.0,7.0,7.0,1.886796226411321,4.8,38.29001868377306,6.187892911466153,-0.39024447762176306,6.16992,7,"division(division(0.7461, ARG0), division(0.0749, ARG0))"
2,0.010843040878417698,123.56412758101176,169.70772963391568,207.58744319594288,208.68466270716527,646.6706820440202,87.80817823368244,207.52462992657655,3.0,3.0,5.0,7.0,9.0,2.1241390494392682,4.935483870967742,38.29001868377306,6.187892911466153,-0.39024447762176306,6.16992,7,"division(division(0.7461, ARG0), division(0.0749, ARG0))"
3,0.010040158356552698,123.56412758101176,147.17573269203436,207.7257843628,210.24899155098973,3616.4464238241612,619.3306519715568,319.0697292595585,3.0,3.0,5.0,7.0,9.0,2.031966753883756,5.066666666666666,38.29001868377306,6.187892911466153,-0.39024447762176306,6.16992,7,"division(division(0.7461, ARG0), division(0.0749, ARG0))"
4,0.01028150694873331,94.70295650565716,143.47518888258125,191.94867484684644,210.42399731928134,228.77184270108572,37.74466743224015,180.17797132565852,3.0,4.0,5.0,7.0,9.0,1.8609296905620591,5.387096774193548,20.8719562378,4.568583613966149,0.24217530065970616,1.4062499999999993,5,"multiply(add(ARG0, ARG0), ARG0)"
5,0.01081344152277297,71.19740195208571,149.17553405633123,206.74833572083708,208.48084152884445,425.88219899635857,68.15231591806985,194.1464123198161,3.0,5.0,5.0,7.0,11.0,2.0805826447222064,5.838709677419355,22.9849856128,4.794265909688364,0.1654548518161737,3.1113299999999997,7,"multiply(ARG0, add(add(ARG0, ARG0), ARG0))"
6,0.010067765447875243,71.19740195208571,140.21241730922858,149.4575330235143,208.5779612150352,897.0724045038405,200.14827341468583,218.29384940451874,3.0,3.5,5.0,7.0,11.0,2.227105745132009,5.8,22.9849856128,4.794265909688364,0.1654548518161737,3.1113299999999997,7,"multiply(ARG0, add(add(ARG0, ARG0), ARG0))"
7,0.01116550308943276,69.69575364851428,94.70295650565716,140.21241730922858,190.46209712207258,1967.086990314305,339.87008076631025,219.0937000369015,3.0,3.0,5.0,7.0,9.0,1.9290214693840069,5.387096774193548,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,9,"multiply(ARG0, add(add(ARG0, add(ARG0, ARG0)), ARG0))"
8,0.010736027823394334,69.69575364851428,74.45656252089061,139.19956258522856,140.21241730922858,198.77070436280002,36.7342957488211,117.66578599423772,3.0,3.0,6.0,7.0,11.0,2.440400695696417,5.666666666666667,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,7,"multiply(add(ARG0, ARG0), add(ARG0, ARG0))"
9,0.011792497132562474,69.69575364851428,71.19740195208571,94.70295650565716,140.21241730922858,211.7677750770857,39.02211490547264,107.86966268066668,3.0,5.0,5.0,9.0,11.0,2.4719024594410346,6.225806451612903,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,7,"multiply(add(ARG0, ARG0), add(ARG0, ARG0))"
10,0.012295686178523946,69.69575364851428,69.69575364851428,90.19801159494287,94.70295650565716,223.44234375764822,36.27741643714078,95.72787103181615,3.0,5.0,7.0,9.0,11.0,2.3243720689873317,6.870967741935484,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,9,"multiply(ARG0, add(add(ARG0, ARG0), add(ARG0, ARG0)))"
11,0.012028153540965203,69.69575364851428,69.69575364851428,71.19740195208571,94.70295650565716,749.7405044284071,128.69218519824062,120.20961389254676,3.0,5.5,7.0,9.0,11.0,2.4729649321321876,7.533333333333333,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,9,"multiply(ARG0, add(add(ARG0, ARG0), add(ARG0, ARG0)))"
12,0.012266086822879219,69.69575364851428,70.44657780029999,93.39594294262145,140.21241730922858,283.72822293422854,49.09269614104313,108.16885205513633,3.0,5.0,7.0,9.0,15.0,3.110186011146826,7.064516129032258,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,9,"multiply(ARG0, add(add(ARG0, ARG0), add(ARG0, ARG0)))"
13,0.01236370777466922,69.69575364851428,69.69575364851428,90.19801159494287,94.70295650565716,207.49613186955307,30.081849524093496,90.54276800290604,3.0,5.0,8.0,9.0,11.0,2.578543947441829,7.533333333333333,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,9,"multiply(ARG0, add(add(ARG0, ARG0), add(ARG0, ARG0)))"
14,0.01263550955006143,69.69575364851428,69.69575364851428,90.19801159494287,123.20387096994286,93519.60553395997,16760.30944345739,3307.5141817779436,3.0,5.5,9.0,11.0,17.0,3.530187278632994,8.733333333333333,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,9,"multiply(ARG0, add(add(ARG0, ARG0), add(ARG0, ARG0)))"
15,0.012759883765607327,69.69575364851428,69.69575364851428,94.70295650565716,140.21241730922858,5121.063483023514,891.284866713105,300.73578852178616,3.0,5.0,9.0,10.0,19.0,4.210882289569218,8.548387096774194,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,9,"multiply(ARG0, add(add(ARG0, ARG0), add(ARG0, ARG0)))"
16,0.012669378043539625,69.69575364851428,69.69575364851428,71.19740195208571,92.45048405030002,283.72822293422854,53.94956766631067,98.6523733691364,3.0,7.0,9.0,9.0,11.0,2.118252278629936,8.35483870967742,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,9,"multiply(ARG0, add(add(ARG0, ARG0), add(ARG0, ARG0)))"
17,0.013325117614747306,69.69575364851428,69.69575364851428,71.19740195208571,92.45048405030002,283.72822293422854,51.16852239011127,96.21803545307651,3.0,7.0,9.0,9.0,15.0,2.7988402533527563,8.806451612903226,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,9,"multiply(ARG0, add(add(ARG0, ARG0), add(ARG0, ARG0)))"
18,0.012009938552876243,69.69575364851428,69.69575364851428,71.19740195208571,94.70295650565716,197.21424623779998,30.21340201819615,88.4327817378,3.0,7.0,9.0,9.0,15.0,2.748737083745107,8.333333333333334,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,9,"multiply(ARG0, add(add(ARG0, ARG0), add(ARG0, ARG0)))"
19,0.011988308254520241,69.69575364851428,69.69575364851428,71.19740195208571,94.70295650565716,522.7678950770857,89.35120558573455,109.64536053321639,3.0,7.0,8.0,9.0,13.0,2.5612496949731396,8.2,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,9,"multiply(ARG0, add(add(ARG0, ARG0), add(ARG0, ARG0)))"
20,0.012251571754245738,69.69575364851428,69.69575364851428,90.19801159494287,94.70295650565716,283.72822293422854,52.02056454570901,96.91048522973549,3.0,7.0,7.0,11.0,13.0,2.4803074563536884,8.096774193548388,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,9,"multiply(ARG0, add(add(ARG0, ARG0), add(ARG0, ARG0)))"
21,0.011871049268696643,69.69575364851428,69.69575364851428,71.19740195208571,94.70295650565716,522.7678950770857,93.25393699304125,112.19646365348002,3.0,7.0,9.0,10.5,17.0,3.084729413669139,8.533333333333333,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,9,"multiply(ARG0, add(add(ARG0, ARG0), add(ARG0, ARG0)))"
22,0.01179135869580672,69.69575364851428,69.69575364851428,90.19801159494287,94.70295650565716,392.2461058806571,69.73828161805864,108.09800253339694,3.0,5.5,7.0,9.0,19.0,3.841296077570116,8.333333333333334,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,9,"multiply(ARG0, add(add(ARG0, ARG0), add(ARG0, ARG0)))"
23,0.012083652332799177,69.69575364851428,69.69575364851428,71.19740195208571,113.70356614851428,522.7678950770857,82.27840718487084,106.08948951832997,3.0,7.0,7.0,9.0,15.0,2.822534561835788,7.967741935483871,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,9,"multiply(ARG0, add(add(ARG0, ARG0), add(ARG0, ARG0)))"
24,0.01309259190742229,69.69575364851428,69.69575364851428,71.19740195208571,94.70295650565716,197.21424623779998,31.48867131260971,90.91817846463547,3.0,7.0,9.0,9.0,15.0,2.796823595120404,8.333333333333334,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,9,"multiply(ARG0, add(add(ARG0, ARG0), add(ARG0, ARG0)))"
25,0.012811398028796717,69.69575364851428,69.69575364851428,71.19740195208571,94.70295650565716,197.21424623779998,27.90234637702727,85.99244922734039,5.0,7.0,9.0,9.0,15.0,2.3142073276946373,8.666666666666666,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,9,"multiply(ARG0, add(add(ARG0, ARG0), add(ARG0, ARG0)))"
26,0.013219242996479252,69.69575364851428,69.69575364851428,71.19740195208571,94.70295650565716,6634.828069362799,1157.0512075629226,302.0496268166692,3.0,7.0,9.0,9.0,21.0,3.5230768881228514,8.67741935483871,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,9,"multiply(ARG0, add(add(ARG0, ARG0), add(ARG0, ARG0)))"
27,0.013382039452525696,69.69575364851428,69.69575364851428,90.19801159494287,94.70295650565716,392.2461058806571,68.68189348155234,106.84773321360645,3.0,6.0,7.0,9.0,15.0,2.7764431988838725,7.967741935483871,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,9,"multiply(ARG0, add(add(ARG0, ARG0), add(ARG0, ARG0)))"
28,0.013057015758810575,69.69575364851428,70.44657780029999,90.19801159494287,117.45768690744288,522.7678950770857,101.03789521511744,125.19080778445898,1.0,6.0,9.0,11.0,19.0,3.7397101280488876,8.419354838709678,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,9,"multiply(ARG0, add(add(ARG0, ARG0), add(ARG0, ARG0)))"
29,0.013127029619278252,69.69575364851428,69.69575364851428,90.19801159494287,140.21241730922858,392.2461058806571,80.17659954908504,123.79201951234495,3.0,7.0,9.0,11.0,19.0,3.8643671323171835,9.0,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,9,"multiply(ARG0, add(add(ARG0, ARG0), add(ARG0, ARG0)))"
30,0.012950287312976094,69.69575364851428,70.07116572440714,90.19801159494287,128.78863521240714,22524.528730722664,4025.7913460028835,846.1730823785526,3.0,7.0,9.0,11.0,13.0,2.8323527714997336,8.666666666666666,37.22692123779999,6.1013868290578,-0.35164524460378055,3.63867,9,"multiply(ARG0, add(add(ARG0, ARG0), add(ARG0, ARG0)))"
