generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,errors_min,errors_lq,errors_med,errors_uq,errors_max,errors_std,errors_mean,bounds_min,bounds_lq,bounds_med,bounds_uq,bounds_max,bounds_std,bounds_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,best_candidate_size,best_candidate_solution
1,1.9420504720000054,0.23911042944787309,0.258435582822106,0.25966257668713655,0.2596625766871367,0.7596625766871327,0.03244213628943894,0.2583644173179265,4987116.674541821,6177776.1244843,6219827.3832354285,6226094.3493528,1.543358677328664e+20,9.74151565522355e+18,6.173435141493051e+17,0.47822085889570554,0.5168711656441718,0.5193251533742331,0.5193251533742331,0.5236196319018405,0.013160481552018502,0.5127288343558282,3.0,3.0,3.0,7.0,7.0,1.7631970961863566,4.056,8424202.399964126,2902.44765671392,-0.7589266210772845,964.498,3,"sub(ARG158, ARG491)"
2,1.9292866099999628,0.2426982885584328,0.24576582504907823,0.24576633287944616,0.25404906146673145,0.7457463519345144,0.05033314635586681,0.2546396912677481,4180024.8095780127,6190242.901165966,6221958.793563459,6233928.470015543,51191756559.03009,5153643818.618665,620700978.0320238,0.4852760736196319,0.4914110429447852,0.4914110429447852,0.507361963190184,0.5177914110429448,0.008192019738675461,0.4971533742331288,1.0,3.0,3.0,7.0,13.0,1.946878527284124,4.392,8310793.261549914,2882.8446474879484,-0.7352474235509947,925.254,3,"sub(ARG211, ARG444)"
3,1.9923636550000197,0.24436653477450382,0.2535432195839869,0.2550593783459709,0.25507613248389593,0.7480769886047691,0.03139631510429805,0.2561358913744155,4180024.8095780127,6162986.055146561,6211334.116483797,6223985.847392312,1830358463.7660115,115501530.60986914,14433538.385331718,0.4852760736196319,0.503680981595092,0.5067484662576687,0.5067484662576687,0.5141104294478527,0.004927934875337877,0.5043680981595092,1.0,3.0,3.0,5.0,11.0,1.9894280585133006,4.224,8418635.39283317,2901.488478838606,-0.7577642609418715,919.970194,7,"sub(mul(ARG61, ARG538), add(ARG197, ARG48))"
4,1.9105900739999697,0.2417191949187441,0.24938785239687183,0.24938790548080458,0.25061495992632266,0.7493874937393017,0.03158834411302878,0.2520836341125153,4394701.758804502,6160743.190937847,6219419.28669652,6227565.681446196,2218045567903.7983,140000275181.27066,8878488432.698933,0.4834355828220859,0.49877300613496933,0.49877300613496933,0.5012269938650307,0.5159509202453987,0.004293259073137845,0.5001644171779142,1.0,3.0,3.0,5.0,11.0,1.7076018271248128,4.064,8369268.313839875,2892.9687716668973,-0.7474566893376449,950.38488,5,"mul(add(ARG92, ARG225), ARG333)"
5,1.9628892599999972,0.24033743141822134,0.24677914907842072,0.24677914919989768,0.2498466338584614,0.7467791468154079,0.03154283654420603,0.25014595233439707,4391821.435182095,6145802.529804042,6216680.745182303,6226983.592630759,384497841669262.6,24220754973855.582,1534614629711.3335,0.48067484662576687,0.493558282208589,0.493558282208589,0.49969325153374233,0.5125766871165645,0.00579205990010616,0.4963006868232591,1.0,3.0,3.0,5.0,11.0,1.5994316541086784,4.059760956175299,8366526.701916912,2892.4948922888198,-0.7468842560119706,955.94456,3,"mul(ARG211, ARG333)"
6,1.9407111009999767,0.24008488624225063,0.25449380285417844,0.25510465315327086,0.25511500051546226,0.7549178646213247,0.04334547370033542,0.2588489070898819,4382421.448025448,6109771.305768164,6212991.495220848,6225968.937363656,4666415250.299032,401080380.79812425,55599566.868257694,0.47883435582822087,0.5076687116564418,0.5088957055214725,0.5088957055214725,0.5193251533742331,0.007348749286451773,0.5057717791411044,1.0,3.0,3.0,5.0,11.0,1.9033276123673508,4.312,8369805.588380446,2893.061628859718,-0.7475688692743758,950.03196,3,"mul(ARG544, ARG346)"
7,2.019289092000008,0.23663719603836647,0.24429371194145247,0.2443063708343053,0.25596320706339115,0.755927823387418,0.037110659496690006,0.25146259455007136,4598712.177060165,6046348.86060998,6215554.821643681,6226235.3987499215,23089917153.79589,1671870802.3370216,150806021.5331768,0.4730061349693251,0.48834355828220855,0.48834355828220855,0.5116564417177915,0.5288343558282209,0.013345745536833408,0.4963926380368098,1.0,3.0,3.0,5.0,11.0,2.002494444436738,4.504,8340680.877161915,2888.023697472359,-0.7414877915104228,937.649,3,"sub(ARG604, ARG461)"
8,2.023781360999976,0.24097727157533286,0.25048188607372546,0.25109504427178836,0.2510998248966959,0.7510455032160432,0.033393881466562345,0.2539597196210816,4335726.229360547,6052751.615142718,6206164.762082887,6224004.306006898,17311543866.398,1152807084.360311,118873322.70044112,0.4815950920245399,0.5006134969325153,0.501840490797546,0.501840490797546,0.5159509202453987,0.0036179820176950035,0.5010510106812016,1.0,3.0,3.0,5.0,13.0,2.0314193698290293,4.561752988047809,8366386.008001002,2892.4705716741532,-0.7468548799046113,947.105,5,"sub(ARG70, add(ARG90, ARG372))"
9,2.0350108950000276,0.24555360390858952,0.251075075130133,0.2541424502229669,0.2541425551607066,0.754142196255267,0.0318149059632498,0.2544398968595525,4667208.45364461,6062949.223718573,6206973.784683082,6225801.318840197,2137081613033.1829,134888732973.2526,8582479725.135327,0.49110429447852755,0.5021472392638036,0.508282208588957,0.508282208588957,0.5150306748466258,0.0061149617310667865,0.5048638036809816,1.0,3.0,3.0,5.0,17.0,2.3056660642859796,4.648,8370394.857942884,2893.163468928585,-0.747691905482571,950.2964,5,"mul(sub(ARG332, ARG225), ARG256)"
10,1.9547864410000102,0.24355931635825973,0.24539979708855986,0.24662680175748772,0.2546022658643715,0.7546019506460805,0.03926737546735745,0.25280185612098927,4347116.6668230295,6165316.114109612,6223989.780879026,6251267.609806499,3003599564315.0493,231877603641.69666,21968720997.488857,0.487116564417178,0.4907975460122699,0.4932515337423313,0.50920245398773,0.512883435582822,0.008585956005064767,0.49828957055214723,1.0,3.0,5.0,5.0,15.0,2.271211130652542,4.76,8357663.046056986,2890.962304502946,-0.7450335739518912,946.036,3,"add(ARG410, ARG413)"
