generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,best_candidate_size,best_candidate_solution
1,2.758753013000387,6391460.094866178,9288203.238167098,9335504.139929079,9373676.726885729,857247537683138.0,85294599853454.22,8577053573295.486,3.0,3.0,3.0,3.0,7.0,1.6340134638368191,3.9,6339862.363754918,2517.9083310865226,-0.3237280108110854,708.8534948148147,7,"add(division(ARG506, ARG248), add(ARG385, ARG183))"
2,2.7948377590000746,6296391.085520793,9205785.488129774,9314558.071736792,9348044.007437136,5755644776.069487,568887914.0583758,69062060.21186876,3.0,3.0,3.0,5.0,13.0,2.040853217338309,4.287128712871287,6150018.549875182,2479.9230935404394,-0.2840896780377262,830.095,5,"add(ARG596, add(ARG385, ARG183))"
3,2.7651655430017854,6317359.2094334345,8419916.405132694,9305732.341574889,9343344.536741298,12111668733180.217,1205084527236.302,121233471281.2915,3.0,3.0,3.0,5.0,11.0,1.8808508712813996,4.32,6150018.549875182,2479.9230935404394,-0.2840896780377262,830.095,5,"add(ARG596, add(ARG385, ARG183))"
4,2.7897483769993414,6267478.1553801745,8071608.949136629,9015168.752988512,9327821.389205366,11983676065.415768,1189829112.3591957,139761490.62131807,3.0,3.0,3.0,5.0,13.0,2.155416209772321,4.485148514851486,6468799.264408422,2543.383428507865,-0.3506493187558719,641.95913275,9,"multiply(ARG222, subtract(multiply(ARG183, ARG269), multiply(ARG364, ARG588)))"
5,2.803681420002249,6259765.285388322,7278855.989856264,8977546.364893291,9328462.515534993,20165678828.829113,2067613917.6223366,282601772.6771395,3.0,3.0,5.0,7.0,11.0,2.265921134632379,4.881188118811881,6468799.264408422,2543.383428507865,-0.3506493187558719,641.95913275,9,"multiply(ARG222, subtract(multiply(ARG183, ARG269), multiply(ARG364, ARG588)))"
6,2.801311194001755,6214355.772758657,6529934.579685252,8524512.079430655,9297225.051398363,150418036848.69305,15037064404.668608,1743448497.0582929,3.0,3.0,5.0,7.0,11.0,2.4608691299653045,5.0594059405940595,6027371.035246478,2455.070474598739,-0.25848155892483415,885.0,5,"add(ARG181, add(ARG181, ARG183))"
7,2.8341764409997268,6208587.164141918,6434145.90050698,8383794.659217646,9270011.936175033,84641037219328.47,8380224853888.902,871085622299.8739,3.0,3.0,5.0,7.0,11.0,2.373926268617142,5.475247524752476,6119722.102087281,2473.8072079463427,-0.2777639481931484,831.967,5,"add(ARG181, add(ARG490, ARG183))"
8,2.8034648319990083,6188721.680847339,6355370.458159702,7857058.139985559,9290440.404605538,42774119198854.95,4266118456425.0996,467597654514.43286,3.0,5.0,5.0,7.0,13.0,2.4029981273400947,6.16,6056375.779923213,2460.9704955409793,-0.264537588341895,886.788,7,"add(ARG181, add(multiply(ARG384, ARG181), ARG183))"
9,2.7912468440008524,6204664.472110359,6300717.032935696,7302158.392957076,8983353.982457407,84764644002781.73,11875179256059.51,1799212428147.0872,3.0,5.0,5.0,9.0,13.0,2.417933001553186,6.44,6056375.779923213,2460.9704955409793,-0.264537588341895,886.788,7,"add(ARG181, add(multiply(ARG384, ARG181), ARG183))"
10,2.821945360999962,6193045.012204414,6305710.25170419,7073611.376979844,8433146.16005934,256502902340.39532,25396802370.211155,2628339865.262725,3.0,5.0,7.0,7.0,13.0,2.4640538978696678,6.485148514851486,6056375.779923213,2460.9704955409793,-0.264537588341895,886.788,7,"add(ARG181, add(multiply(ARG384, ARG181), ARG183))"
11,2.822681645000557,6200420.106872365,6323698.984965242,6455071.344506629,8290826.165610393,830488027930.7029,97849702311.8468,15867559945.636652,3.0,5.0,5.0,9.0,15.0,2.8047601924729073,6.584158415841584,6056375.779923213,2460.9704955409793,-0.264537588341895,886.788,7,"add(ARG181, add(multiply(ARG384, ARG181), ARG183))"
12,2.8310867229993164,6214889.309155139,6263996.550597873,6453673.957408203,8312541.472675111,486317951372.4002,48192596446.40359,5436869182.365431,3.0,5.0,5.0,9.0,19.0,2.89393593731672,6.683168316831683,6132644.724115553,2476.4177200374643,-0.2804621198206183,813.230645341853,11,"add(division(add(ARG550, ARG183), ARG102), add(multiply(ARG16, ARG269), ARG183))"
