generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,errors_min,errors_lq,errors_med,errors_uq,errors_max,errors_std,errors_mean,bounds_min,bounds_lq,bounds_med,bounds_uq,bounds_max,bounds_std,bounds_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,best_candidate_size,best_candidate_solution
1,2.8045480549990316,7358507.149967115,9283000.501467913,9334259.158121247,9396060.24386514,2904357774.807063,289021231.01119995,42897934.807211444,4906871.143613094,6202029.554957193,6224142.597639657,6250320.795437292,1936713783.724232,192729307.7025111,28601174.974530883,0.4908588957055215,0.4974693251533742,0.500521472392638,0.5027914110429448,0.51,0.004037305990727588,0.5004699386503068,3.0,3.0,3.0,7.0,7.0,1.833030277982336,4.2,7005081.154873098,2646.71138488372,-0.4626219956640132,556.0,3,"subtract(ARG110, ARG127)"
2,2.81512954000209,6442671.23808231,9245244.16671527,9304886.132020324,9357364.351043168,391355657142401.25,38748064804696.09,3875009370014.614,4281630.088504165,6154660.423538581,6212217.566414722,6225612.665968457,260243848377167.94,25766704281380.562,2576805747475.2817,0.48901840490797543,0.4976687116564417,0.5003680981595092,0.5034969325153374,0.5085889570552147,0.003988655706831561,0.5002739476401629,3.0,3.0,3.0,5.0,9.0,1.7219754615690825,4.306930693069307,5904691.854770393,2429.9571713860296,-0.23286682815907644,896.5556200000001,5,"multiply(add(ARG0, ARG582), ARG312)"
3,2.823002399003599,6413251.448517129,8901034.161959983,9264351.463908814,9335367.713463625,6914766459.577932,688756549.2411541,86744995.67460628,4281630.088504165,5935875.901494849,6180563.1739213355,6224702.428732829,4601751246.932605,458352201.11830413,57727878.03744456,0.4896319018404908,0.4977914110429448,0.500920245398773,0.5036196319018404,0.5111656441717791,0.004154139235723751,0.5004640709469719,3.0,3.0,3.0,5.0,9.0,1.732418651730646,4.465346534653466,5904691.854770393,2429.9571713860296,-0.23286682815907644,896.5556200000001,5,"multiply(add(ARG0, ARG582), ARG312)"
4,2.7967856239993125,6416567.252817073,8255848.186423514,9246423.324580805,9331495.978505168,3500868465.1948605,350520013.559707,55529825.95233921,4278993.180928863,5512705.92711314,6182511.57527047,6225605.3501635585,2324026878.825292,232706653.4070069,36923747.78852627,0.4901840490797546,0.4955521472392638,0.4986196319018405,0.5014110429447853,0.5087730061349693,0.003939539824634911,0.49868650306748463,3.0,3.0,4.0,7.0,9.0,1.8481341942618776,4.62,5904691.854770393,2429.9571713860296,-0.23286682815907644,896.5556200000001,5,"multiply(add(ARG0, ARG582), ARG312)"
5,2.8261251309959334,6265811.1825731285,7871879.987659665,9095445.009742666,9336520.8073949,10020383006.38779,1011092510.1334809,139164585.1668118,4190232.3080307706,5238187.281625636,6076802.625683709,6222573.331946134,6671523691.043256,673203633.1166898,92687008.90185626,0.4915950920245399,0.4973006134969325,0.5001840490797546,0.5022085889570552,0.5113496932515338,0.0034658457990872594,0.5000741055700662,3.0,3.0,5.0,5.0,13.0,1.9375607734491178,4.643564356435643,6157122.332125609,2481.3549387634184,-0.28557290827334647,750.6464460000001,3,"multiply(ARG480, ARG212)"
6,2.8862482540062047,6279692.933777648,7330867.367836334,9008743.689592618,9339263.588787615,762761324287.6418,76326943650.16887,8566310899.71497,4190232.3080307706,4901294.151101041,6003743.5807705615,6223937.86546215,508465957217.7557,50876722838.451195,5706938806.533351,0.4893251533742331,0.4978374233128835,0.5002147239263803,0.5033895705521472,0.5117791411042945,0.004143048123652721,0.500401226993865,3.0,3.0,5.0,7.0,9.0,1.8472682533947256,4.74,6157122.332125609,2481.3549387634184,-0.28557290827334647,750.6464460000001,3,"multiply(ARG480, ARG212)"
7,3.059036483995442,6259898.584837871,7154601.482475248,8778860.066776624,9296571.714717306,2084780225.3611274,271434485.0939465,62160183.22260166,4190232.3080307706,4778029.116525903,5856410.916753871,6202942.696147302,1392359160.5910995,181116098.76320305,41474748.52607498,0.49049079754601227,0.49736196319018405,0.5,0.5033282208588957,0.5096319018404908,0.004207063836773698,0.5003674846625769,3.0,3.0,5.0,7.0,11.0,1.884144368141677,4.9,6157122.332125609,2481.3549387634184,-0.28557290827334647,750.6464460000001,3,"multiply(ARG480, ARG212)"
8,2.8130666930010193,6278921.725377398,6509702.238776987,7837172.526904739,9290940.315902477,7343156432669.889,884014440730.6263,126502390647.74141,4190232.3080307706,4329176.6766358195,5228121.650771651,6187895.23789908,4901050276493.292,589352891262.4044,84309639655.87592,0.4912883435582822,0.49806748466257666,0.5003374233128834,0.5027147239263803,0.5103680981595092,0.0034589504932581094,0.5003638036809815,1.0,3.0,5.0,7.0,9.0,1.914575671003891,5.12,6157122.332125609,2481.3549387634184,-0.28557290827334647,750.6464460000001,3,"multiply(ARG480, ARG212)"
9,2.8336686979964725,6308484.714053688,6448180.757599657,8308804.548524863,9312825.53404971,102891838592.73032,14817506845.4977,2593574888.0653424,4190232.3080307706,4289770.7785766935,5533997.22718732,6214770.315032302,68499304405.38737,9862423458.419985,1726418326.2632887,0.49214723926380366,0.49717791411042944,0.5003067484662577,0.5021472392638037,0.5079754601226993,0.003546234053761555,0.4997825426714451,1.0,3.0,5.0,7.0,11.0,2.1803769676832956,5.396039603960396,6157122.332125609,2481.3549387634184,-0.28557290827334647,750.6464460000001,3,"multiply(ARG480, ARG212)"
10,2.821402327004762,6058319.7683824655,6448026.609380483,7817244.2085441835,9267253.249252064,89599701949.11162,17518846339.97725,3596438568.282061,4062808.040180786,4283926.751338439,5201986.591510076,6182202.647284729,60032684222.7277,11703480601.325563,2402568224.6382594,0.49116564417177916,0.49797546012269944,0.5000306748466258,0.5024386503067484,0.5079141104294479,0.0036960735605693546,0.4998245398773007,1.0,3.0,5.0,7.0,11.0,2.337434491060659,5.42,5839619.961611353,2416.5305629375666,-0.21928017867854876,798.2290000000002,9,"add(add(add(ARG0, ARG531), ARG0), add(ARG0, ARG481))"
