generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,errors_min,errors_lq,errors_med,errors_uq,errors_max,errors_std,errors_mean,bounds_min,bounds_lq,bounds_med,bounds_uq,bounds_max,bounds_std,bounds_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,best_candidate_size,best_candidate_solution
1,3.4053603910000003,0.49545114943130497,0.5024019478069459,0.502403316805852,0.5024688824838283,1.5024017509958463,0.10248583092710045,0.5152747729797548,0.015187594766693088,0.03408362049959988,0.16012023740607828,0.6346365874799136,47864.49358936549,4899.904420250348,651.8938939766302,0.4954480286738351,0.5024014336917563,0.5024014336917563,0.5024014336917563,0.5037634408602151,0.0018251604161200771,0.5016551971326165,3.0,3.0,3.0,7.0,7.0,1.772117377602285,4.14,0.1378450739585105,0.37127493042018134,-9.132036910943985,0.19566133615304548,3,"subtract(ARG101, ARG76)"
2,3.5284349020000008,0.4943755829857279,0.49762189746669583,0.5024030096923097,0.5024061794029053,1.5024030096923098,0.09949272776680725,0.5110156718355504,0.01823254814090682,0.03181141252033992,0.07402706129157506,0.27291656655477925,11568.889894461556,1147.9550687289616,124.46241055454044,0.49437275985663076,0.49759856630824373,0.5021863799283154,0.5024014336917563,0.5052688172043012,0.002569464069309751,0.5002572837928955,3.0,3.0,3.0,5.0,9.0,1.8183350943760788,4.3861386138613865,0.02719698783936079,0.1649150928185798,-0.9990622569351904,0.07645824579601275,7,"multiply(subtract(ARG25, ARG6), multiply(ARG86, ARG122))"
3,3.5733411470000007,0.4983543685721364,0.5050597936030443,0.5062266201503699,0.5148914674154358,1.4998846855226575,0.10345751866511517,0.52515026116286,0.015812544886481674,0.03148446401441202,0.05764206777078905,0.13211124451768957,8.218632194805963,0.8508879846244549,0.2092313748799742,0.49301075268817207,0.49731182795698925,0.4996057347670251,0.5024014336917563,0.506057347670251,0.0028316134467445027,0.4996430107526882,3.0,3.0,5.0,7.0,15.0,2.2644204556574734,4.82,0.02719698783936079,0.1649150928185798,-0.9990622569351904,0.07645824579601275,7,"multiply(subtract(ARG25, ARG6), multiply(ARG86, ARG122))"
4,3.6413653630000002,0.49337367417716255,0.49765358929081094,0.5021764700800118,0.5024528564281151,1.502427292605725,0.11335225148257483,0.5156043415279222,0.015812544886481674,0.030834606385770357,0.036014938223195826,0.0690148452013003,611.5088128179746,69.09264821243251,9.5117821890323,0.49315412186379937,0.49759856630824373,0.5021146953405018,0.5024014336917563,0.506057347670251,0.0030687933274380704,0.5000493275133965,1.0,3.0,5.0,7.0,13.0,2.2405133362251966,5.099009900990099,0.12333260038727574,0.3511874149044577,-8.065325466927444,0.16548442483896958,3,"subtract(ARG122, ARG76)"
5,3.6404230199999983,0.5347749333936627,0.5571468818637046,0.5866721630326673,0.7222264624682887,1.5287534280173185,0.15655552694977562,0.6584531901313447,0.017848511588758463,0.03236651668173107,0.049189007808332984,0.1267653390989935,0.5741063212724977,0.08732969438359714,0.08869827854290073,0.49315412186379937,0.49587813620071686,0.4978853046594982,0.5024014336917563,0.5056272401433692,0.003315882636388603,0.4989978494623656,1.0,3.0,5.0,7.0,11.0,1.987460691435179,5.3,0.013418320174177982,0.11583747309993421,0.013712195993625276,0.04109670849409252,11,"multiply(ARG28, add(multiply(subtract(ARG73, add(ARG68, ARG111)), ARG109), ARG120))"
6,3.6686320849999987,0.5162207139115433,0.5224975733971698,0.5268230412170334,0.5464050182605747,1.511919638642726,0.12883244435145302,0.5653353974462327,0.01750187380736996,0.029161159875320364,0.03214656443555879,0.06651411084987537,1.3108194173552963,0.16731142666077714,0.08426949261303612,0.4940860215053764,0.49759856630824373,0.5022939068100358,0.5024014336917563,0.5074910394265233,0.003394172200698462,0.5001777777777778,1.0,4.5,5.0,7.0,13.0,2.406241883103193,5.7,0.013170165456344536,0.11476134129725278,0.03195233101266948,0.041441069254934446,9,"multiply(ARG28, add(multiply(subtract(ARG73, ARG28), ARG109), ARG120))"
7,3.6301312589999988,0.4942312428895752,0.4985899141102209,0.5024027652814385,0.502403113347281,1.498388015586917,0.09930838510313669,0.5109410247916495,0.01748033739497376,0.027296161268183742,0.032075668628770704,0.0385043016769932,19024.936212499128,1893.0752654868834,195.11424205397486,0.4942293906810036,0.4982616487455197,0.5024014336917563,0.5024014336917563,0.5056272401433692,0.0027761437210163382,0.5006853046594982,1.0,3.0,5.0,7.0,13.0,2.4307200579252233,5.46,0.029603793044751674,0.17205752830013477,-1.1759698422277367,0.09026345764618406,7,"multiply(subtract(ARG25, ARG6), multiply(ARG69, ARG113))"
8,3.668807403999999,0.5207353578947936,0.5290296837782817,0.5328980133559892,0.5405717399015342,1.5155023829843994,0.14640820848262098,0.5712679937324291,0.018250216853129803,0.029725051755609758,0.03236432642401716,0.04230558929568404,1.0136845085530108,0.1458693538587931,0.0712156701614203,0.4940860215053764,0.49738351254480284,0.5009677419354839,0.5024014336917563,0.5044086021505376,0.0029729683661209798,0.49972568224564384,1.0,3.0,5.0,7.0,13.0,2.198644100084279,5.2772277227722775,0.014394268862998286,0.11997611788601216,-0.05802303439473788,0.047797815785704106,3,"multiply(ARG69, ARG28)"
9,3.5743873709999967,0.502361347824315,0.5073878540504744,0.508568067713123,0.5099626252617468,1.500625648590926,0.09877691036616147,0.5189995241616496,0.01561796338874906,0.024636964411930258,0.030775895159683334,0.033015690874675326,4.033309957855384,0.39852260384970184,0.07343976984735127,0.4942293906810036,0.49921146953405016,0.5024014336917563,0.5024014336917563,0.5029749103942652,0.0026198019954460474,0.500720430107527,1.0,3.0,5.0,5.0,11.0,2.154437281519237,4.72,0.014394268862998286,0.11997611788601216,-0.05802303439473788,0.047797815785704106,3,"multiply(ARG69, ARG28)"
10,3.6189717230000014,0.5374973846713766,0.5649503355712471,0.5709779880087014,0.5802604497120394,1.5331963094025594,0.15736194292882494,0.6108096356065557,0.01561796338874906,0.02783473398762171,0.03189988058566748,0.036903106082377624,0.4606255198962838,0.07017165342831477,0.049354828429832825,0.49437275985663076,0.49759856630824373,0.5015412186379928,0.5024014336917563,0.5057706093189964,0.0029281316762791065,0.4999017921146954,1.0,3.0,5.0,7.0,13.0,2.6575176386996944,5.24,0.01338464893973746,0.11569204354551553,0.016187135288816212,0.03984717458484552,3,"multiply(ARG76, ARG88)"
11,3.6040382660000034,0.5847515874946831,0.616446309413333,0.6584165836554738,0.6704473816794598,1.5841064262043607,0.11545030861500871,0.6707302322421647,0.01561796338874906,0.02162896620638388,0.02941202188323429,0.03215891864123275,0.20527108080884018,0.022002070845931636,0.03224900680930434,0.4940860215053764,0.49836917562724015,0.5024014336917563,0.5024014336917563,0.5042652329749104,0.0027709501012211568,0.5006881720430107,1.0,3.0,4.0,7.0,13.0,2.6529983038064686,4.96,0.01338464893973746,0.11569204354551553,0.016187135288816212,0.03984717458484552,3,"multiply(ARG76, ARG88)"
